Classifier,Execution Time,Memory Usage,Precision,Accuracy,F1 Score,ROC-AUC Score (Macro),ROC-AUC Score (Micro),Confusion Matrix
MLPClassifier,45.95227599143982,128.6015625,0.8126059485282786,0.64,0.6337285264159201,0.9034,0.8376888888888889,"[[20 30  0]
 [ 0 50  0]
 [ 1 23 26]]"
CNNClassifier,81.01066255569458,72.63671875,0.9540229885057471,0.9466666666666667,0.9474555039756704,0.9928,0.9892666666666665,"[[47  3  0]
 [ 0 50  0]
 [ 0  5 45]]"
FCNClassifier,315.89538073539734,96.6328125,0.8504273504273504,0.8133333333333334,0.7996187833776017,0.9311333333333334,0.942711111111111,"[[24  2 24]
 [ 0 50  0]
 [ 2  0 48]]"
MCDCNNClassifier,3.919543981552124,69.9765625,0.9742332830568126,0.9733333333333334,0.9733184961916447,0.9901999999999999,0.9885777777777778,"[[47  3  0]
 [ 0 49  1]
 [ 0  0 50]]"
BOSSEnsemble,9.964181184768677,75.17578125,0.8437149270482603,0.74,0.7411639227496005,0.9762,0.9296888888888889,"[[26 24  0]
 [ 0 50  0]
 [ 1 14 35]]"
ContractableBOSS,6.902288198471069,67.3046875,0.8087301587301587,0.6266666666666667,0.6182283666154634,0.9349,0.8839666666666668,"[[19 31  0]
 [ 0 50  0]
 [ 1 24 25]]"
IndividualBOSS,3.0636420249938965,62.59765625,0.6754385964912281,0.66,0.6659706676571268,0.745,0.7450000000000001,"[[24  0 26]
 [ 4 45  1]
 [20  0 30]]"
TemporalDictionaryEnsemble,35.89542770385742,91.3515625,0.8888888888888887,0.8333333333333334,0.8360747337174786,0.9988666666666667,0.9667333333333333,"[[33 17  0]
 [ 0 50  0]
 [ 0  8 42]]"
IndividualTDE,1.817565679550171,62.859375,0.5880619012527635,0.47333333333333333,0.48952078282893186,0.605,0.605,"[[22  0 28]
 [14 22 14]
 [23  0 27]]"
WEASEL,2.697720527648926,71.8203125,0.9398907103825136,0.9266666666666666,0.9281465115731633,0.9981333333333334,0.9940888888888889,"[[44  6  0]
 [ 0 50  0]
 [ 0  5 45]]"
MUSE,3.2814102172851562,80.15625,0.9082125603864734,0.8733333333333333,0.875693686621139,0.9980666666666668,0.9760222222222222,"[[37 13  0]
 [ 0 50  0]
 [ 0  6 44]]"
ShapeDTW,2.276252269744873,67.0390625,0.8946706887883359,0.8666666666666667,0.8678831613572155,0.9,0.9,"[[37 13  0]
 [ 0 50  0]
 [ 2  5 43]]"
KNeighborsTimeSeriesClassifier,4.120655059814453,62.546875,0.9194504468454049,0.92,0.9196626329299596,0.94,0.94,"[[44  0  6]
 [ 0 50  0]
 [ 5  1 44]]"
Catch22Classifier,2.6966984272003174,64.16015625,0.6749274661508704,0.6866666666666666,0.6798279449236738,0.8666666666666667,0.8831000000000001,"[[27  2 21]
 [ 0 50  0]
 [21  3 26]]"
FreshPRINCEClassifier,46.884763956069946,162.13671875,1.0,1.0,1.0,1.0,1.0,"[[50  0  0]
 [ 0 50  0]
 [ 0  0 50]]"
SupervisedTimeSeriesForest,6.62250280380249,63.9765625,1.0,1.0,1.0,1.0,1.0,"[[50  0  0]
 [ 0 50  0]
 [ 0  0 50]]"
TimeSeriesForestClassifier,6.871586799621582,62.546875,1.0,1.0,1.0,1.0,1.0,"[[50  0  0]
 [ 0 50  0]
 [ 0  0 50]]"
CanonicalIntervalForestClassifier,67.01801490783691,62.578125,1.0,1.0,1.0,1.0,1.0,"[[50  0  0]
 [ 0 50  0]
 [ 0  0 50]]"
DrCIFClassifier,126.28746509552002,63.41796875,1.0,1.0,1.0,1.0,1.0,"[[50  0  0]
 [ 0 50  0]
 [ 0  0 50]]"
RocketClassifier,4.207322597503662,77.328125,1.0,1.0,1.0,1.0,1.0,"[[50  0  0]
 [ 0 50  0]
 [ 0  0 50]]"
Arsenal,15.515970706939697,78.14453125,1.0,1.0,1.0,1.0,1.0,"[[50  0  0]
 [ 0 50  0]
 [ 0  0 50]]"
