Classifier,Execution Time,Memory Usage,Precision,Accuracy,F1 Score,ROC-AUC Score (Macro),ROC-AUC Score (Micro),Confusion Matrix
MLPClassifier,74.0243935585022,131.03515625,0.5370862627426823,0.56,0.489762718383408,0.8020862751426637,0.8212897959183673,"[[58 11  0]
 [12 38  3]
 [ 9 42  2]]"
CNNClassifier,54.81385254859924,70.05859375,0.786710273853131,0.7771428571428571,0.7733856195681035,0.9292710588720489,0.9125714285714286,"[[44 10 15]
 [ 7 45  1]
 [ 1  5 47]]"
FCNClassifier,748.8524484634399,105.703125,0.7973347614584728,0.7028571428571428,0.7050115521361543,0.9382918603591287,0.8805387755102041,"[[40  2 27]
 [ 4 31 18]
 [ 1  0 52]]"
MCDCNNClassifier,5.790532112121582,71.80859375,0.7046146458583434,0.5485714285714286,0.4999528010081338,0.9087064107908929,0.8231510204081632,"[[44 24  1]
 [ 5 48  0]
 [ 2 47  4]]"
BOSSEnsemble,24.886383056640625,85.3125,0.8496791208791209,0.84,0.8403768252060899,0.9630508748100431,0.9575020408163265,"[[54  9  6]
 [ 4 49  0]
 [ 2  7 44]]"
ContractableBOSS,13.719248533248901,74.3984375,0.8578769841269842,0.8514285714285714,0.8516315492432979,0.9708796364782862,0.962734693877551,"[[58  6  5]
 [ 3 49  1]
 [ 3  8 42]]"
IndividualBOSS,3.127061128616333,62.71875,0.5629815957390709,0.5371428571428571,0.5316948519106792,0.6523640566560723,0.6528571428571428,"[[41 12 16]
 [ 6 15 32]
 [ 7  8 38]]"
TemporalDictionaryEnsemble,72.43285369873047,104.4453125,0.891751117468264,0.8857142857142857,0.886737733811954,0.9790050072396527,0.9756408163265307,"[[62  6  1]
 [ 4 48  1]
 [ 2  6 45]]"
IndividualTDE,2.426506519317627,62.734375,0.678036390722385,0.5942857142857143,0.5896883997358573,0.7127949840936837,0.7000000000000002,"[[28 26 15]
 [ 1 39 13]
 [ 2 14 37]]"
WEASEL,3.132580280303955,77.91015625,0.859084820976565,0.8571428571428571,0.856333453692528,0.9586600142551674,0.9533714285714285,"[[56 10  3]
 [ 5 43  5]
 [ 1  1 51]]"
MUSE,4.352347373962402,95.66015625,0.8398046255322702,0.8342857142857143,0.8340082046332046,0.9549617396683656,0.9531428571428572,"[[53  6 10]
 [ 4 47  2]
 [ 2  5 46]]"
ShapeDTW,2.815065860748291,74.8671875,0.8346281087333719,0.8228571428571428,0.8232998962296784,0.8720542682571489,0.8671428571428572,"[[51 11  7]
 [ 6 47  0]
 [ 0  7 46]]"
KNeighborsTimeSeriesClassifier,18.035078525543213,62.7109375,0.7030338225460177,0.6457142857142857,0.639391371515083,0.7428414105144562,0.7342857142857142,"[[37 15 17]
 [ 4 26 23]
 [ 0  3 50]]"
Catch22Classifier,3.0649044513702393,62.97265625,0.7543975361288793,0.7485714285714286,0.7483636804475484,0.9058714405041011,0.8934530612244898,"[[55  4 10]
 [ 8 34 11]
 [ 4  7 42]]"
FreshPRINCEClassifier,80.94784808158875,183.98046875,0.7362304446078031,0.6971428571428572,0.7031682910598936,0.9062984231154863,0.8785632653061224,"[[46  2 21]
 [ 5 34 14]
 [ 2  9 42]]"
SupervisedTimeSeriesForest,10.116739511489868,64.12109375,0.6966570105069821,0.6457142857142857,0.6425669715995238,0.8690754761808703,0.8019183673469388,"[[33  5 31]
 [ 8 35 10]
 [ 0  8 45]]"
TimeSeriesForestClassifier,7.102062702178955,62.66015625,0.7610844479412536,0.76,0.7554338575393156,0.924747209857284,0.9116244897959184,"[[53  6 10]
 [17 32  4]
 [ 2  3 48]]"
CanonicalIntervalForestClassifier,139.74947547912598,62.63671875,0.8023496444773042,0.7828571428571428,0.7804382013223957,0.9386400211586134,0.9037551020408163,"[[46  6 17]
 [ 7 40  6]
 [ 1  1 51]]"
DrCIFClassifier,212.48977899551392,62.76953125,0.8120408163265305,0.7657142857142857,0.7646831556257135,0.927028933208414,0.8788081632653062,"[[44  2 23]
 [ 8 37  8]
 [ 0  0 53]]"
RocketClassifier,7.850826740264893,78.578125,0.8285909264687141,0.7942857142857143,0.7822522710812508,0.8603277493122704,0.8457142857142858,"[[37  9 23]
 [ 2 50  1]
 [ 1  0 52]]"
Arsenal,39.573237895965576,74.2578125,0.8371092382118086,0.8057142857142857,0.7975222634508349,0.9167581896236129,0.8994693877551021,"[[40  8 21]
 [ 2 49  2]
 [ 1  0 52]]"
