Classifier,Execution Time,Memory Usage,Precision,Accuracy,F1 Score,ROC-AUC Score (Macro),ROC-AUC Score (Micro),Confusion Matrix
MLPClassifier,102.22603178024292,132.12109375,0.6449653329221597,0.5714285714285714,0.5455391638136736,0.8176130513977983,0.7890285714285714,"[[46 20  3]
 [ 3 46  4]
 [ 2 43  8]]"
CNNClassifier,79.99101424217224,69.4921875,0.7587468260478925,0.7485714285714286,0.7448243559718969,0.924368416884454,0.899461224489796,"[[42  7 20]
 [ 9 42  2]
 [ 2  4 47]]"
FCNClassifier,735.6306161880493,105.81640625,0.8308764901309361,0.8171428571428572,0.8170812361482217,0.9383740442388353,0.9320163265306122,"[[56  2 11]
 [ 7 38  8]
 [ 1  3 49]]"
MCDCNNClassifier,5.704379558563232,71.59765625,0.8010627705627705,0.7714285714285715,0.7677280682853439,0.9200985907706009,0.8721142857142856,"[[42  9 18]
 [ 2 49  2]
 [ 1  8 44]]"
BOSSEnsemble,22.303922653198242,83.5234375,0.8455516325482426,0.8342857142857143,0.8346813555519296,0.9630508748100431,0.9575020408163265,"[[53 10  6]
 [ 4 49  0]
 [ 2  7 44]]"
ContractableBOSS,10.766696691513062,75.6953125,0.8667650360392297,0.8571428571428571,0.8576558207731018,0.9739663882874524,0.9671591836734694,"[[57  7  5]
 [ 3 50  0]
 [ 2  8 43]]"
IndividualBOSS,3.2405827045440674,62.66015625,0.5629815957390709,0.5371428571428571,0.5316948519106792,0.6523640566560723,0.6528571428571428,"[[41 12 16]
 [ 6 15 32]
 [ 7  8 38]]"
TemporalDictionaryEnsemble,55.159085512161255,102.13671875,0.8925428571428571,0.8914285714285715,0.8915914657538289,0.9765219333832413,0.9761632653061225,"[[63  5  1]
 [ 5 46  2]
 [ 4  2 47]]"
IndividualTDE,2.2538859844207764,62.7265625,0.6639054948578759,0.5714285714285714,0.5633411142576742,0.7088071981124604,0.6957142857142857,"[[25 29 15]
 [ 1 38 14]
 [ 2 14 37]]"
WEASEL,3.1955373287200928,89.4375,0.859084820976565,0.8571428571428571,0.856333453692528,0.9586600142551674,0.9533714285714285,"[[56 10  3]
 [ 5 43  5]
 [ 1  1 51]]"
MUSE,4.3988707065582275,96.5546875,0.868025974025974,0.8628571428571429,0.8627135376343031,0.9604426573186239,0.9568979591836734,"[[55  8  6]
 [ 4 48  1]
 [ 1  4 48]]"
ShapeDTW,2.890284299850464,74.859375,0.8346281087333719,0.8228571428571428,0.8232998962296784,0.8720542682571489,0.8671428571428572,"[[51 11  7]
 [ 6 47  0]
 [ 0  7 46]]"
KNeighborsTimeSeriesClassifier,16.04549527168274,62.5625,0.7030338225460177,0.6457142857142857,0.639391371515083,0.7428414105144562,0.7342857142857142,"[[37 15 17]
 [ 4 26 23]
 [ 0  3 50]]"
Catch22Classifier,2.6617581844329834,62.84765625,0.7413103639131037,0.72,0.7174401386022574,0.8985339142986501,0.882661224489796,"[[52  3 14]
 [10 29 14]
 [ 4  4 45]]"
FreshPRINCEClassifier,71.0159821510315,181.63671875,0.7236803957520643,0.6857142857142857,0.6917270658868967,0.8922711291019095,0.8689061224489796,"[[45  2 22]
 [ 6 34 13]
 [ 1 11 41]]"
SupervisedTimeSeriesForest,9.132021427154541,64.02734375,0.6930934937599778,0.64,0.6357656738202873,0.866151971441849,0.7977469387755103,"[[32  4 33]
 [ 9 34 10]
 [ 0  7 46]]"
TimeSeriesForestClassifier,6.50028395652771,62.5234375,0.7671335629544586,0.76,0.755159420289855,0.9188975854376142,0.9033795918367347,"[[52  5 12]
 [15 32  6]
 [ 2  2 49]]"
CanonicalIntervalForestClassifier,147.905291557312,62.6484375,0.7885411019678866,0.7714285714285715,0.7693620614306329,0.9350609131973863,0.9064244897959184,"[[47  6 16]
 [ 8 38  7]
 [ 1  2 50]]"
DrCIFClassifier,207.02872729301453,63.30859375,0.8091449237923016,0.7771428571428571,0.7757781149103358,0.9327029829759829,0.8915510204081633,"[[45  3 21]
 [ 8 39  6]
 [ 1  0 52]]"
RocketClassifier,12.311583280563354,79.30859375,0.8309848681779718,0.8057142857142857,0.795578231292517,0.867684700798379,0.8542857142857141,"[[39  8 22]
 [ 2 51  0]
 [ 2  0 51]]"
Arsenal,49.893531799316406,74.77734375,0.8378885197489848,0.8114285714285714,0.8016249665884053,0.9157831899598196,0.8973714285714286,"[[40 10 19]
 [ 2 50  1]
 [ 1  0 52]]"
