Classifier,Execution Time,Memory Usage,Precision,Accuracy,F1 Score,ROC-AUC Score (Macro),ROC-AUC Score (Micro),Confusion Matrix
MLPClassifier,63.248234272003174,89.5703125,0.6729645542427497,0.6114285714285714,0.6182548044873625,0.835112240765894,0.7757224489795917,"[[39 11 19]
 [ 1 41 11]
 [ 2 24 27]]"
CNNClassifier,49.08458185195923,69.33203125,0.7529469817853378,0.7314285714285714,0.7293434707216219,0.9100333068850666,0.8818448979591837,"[[41  6 22]
 [ 7 41  5]
 [ 2  5 46]]"
FCNClassifier,614.0635476112366,96.015625,0.8363565426170467,0.8171428571428572,0.819253023340296,0.9516885798775011,0.9429714285714286,"[[53  5 11]
 [ 2 42  9]
 [ 1  4 48]]"
MCDCNNClassifier,5.171361923217773,69.9140625,0.7591334076551469,0.68,0.6821978021978022,0.8898750954453694,0.8220734693877552,"[[36  5 28]
 [ 2 36 15]
 [ 1  5 47]]"
BOSSEnsemble,21.198758125305176,71.81640625,0.8455516325482426,0.8342857142857143,0.8346813555519296,0.9630508748100431,0.9575020408163265,"[[53 10  6]
 [ 4 49  0]
 [ 2  7 44]]"
ContractableBOSS,10.89971923828125,70.05859375,0.874105428343825,0.8571428571428571,0.8590890321799413,0.9722169923389682,0.9597632653061225,"[[58  8  3]
 [ 2 50  1]
 [ 1 10 42]]"
IndividualBOSS,3.253108501434326,62.6015625,0.5629815957390709,0.5371428571428571,0.5316948519106792,0.6523640566560723,0.6528571428571428,"[[41 12 16]
 [ 6 15 32]
 [ 7  8 38]]"
TemporalDictionaryEnsemble,52.22923159599304,77.5859375,0.8951642036124794,0.8914285714285715,0.8920860889177722,0.9744456697313783,0.9745551020408163,"[[62  6  1]
 [ 4 48  1]
 [ 3  4 46]]"
IndividualTDE,2.2498269081115723,62.61328125,0.6603923240938167,0.5828571428571429,0.5741886256237401,0.6929516863384989,0.6785714285714285,"[[26 26 17]
 [ 1 39 13]
 [ 3 13 37]]"
WEASEL,3.035496950149536,68.3203125,0.859084820976565,0.8571428571428571,0.856333453692528,0.9586600142551674,0.9533714285714285,"[[56 10  3]
 [ 5 43  5]
 [ 1  1 51]]"
MUSE,4.04851508140564,76.765625,0.8633402723566657,0.8571428571428571,0.8573116337899738,0.9605943239329918,0.9572571428571429,"[[55  8  6]
 [ 4 48  1]
 [ 1  5 47]]"
ShapeDTW,2.8514864444732666,74.76953125,0.8346281087333719,0.8228571428571428,0.8232998962296784,0.8720542682571489,0.8671428571428572,"[[51 11  7]
 [ 6 47  0]
 [ 0  7 46]]"
KNeighborsTimeSeriesClassifier,16.04738426208496,62.60546875,0.7030338225460177,0.6457142857142857,0.639391371515083,0.7428414105144562,0.7342857142857142,"[[37 15 17]
 [ 4 26 23]
 [ 0  3 50]]"
Catch22Classifier,1.9225733280181885,62.57421875,0.7646191694372888,0.76,0.7599701863354038,0.9069245148536155,0.8951673469387755,"[[54  4 11]
 [ 9 36  8]
 [ 3  7 43]]"
FreshPRINCEClassifier,69.9163281917572,138.90234375,0.739398556998557,0.7085714285714285,0.7125219246684849,0.9067381068719172,0.8815183673469388,"[[47  2 20]
 [ 7 34 12]
 [ 1  9 43]]"
SupervisedTimeSeriesForest,8.182196855545044,62.59765625,0.6818681318681319,0.6228571428571429,0.6172730012019026,0.8608003066205839,0.790995918367347,"[[30  4 35]
 [ 9 33 11]
 [ 0  7 46]]"
TimeSeriesForestClassifier,5.798743724822998,62.65234375,0.7940571963429106,0.7771428571428571,0.7725437587622462,0.9193365220678659,0.9053142857142857,"[[54  2 13]
 [18 32  3]
 [ 2  1 50]]"
CanonicalIntervalForestClassifier,121.41571807861328,62.70703125,0.7893808436616655,0.7714285714285715,0.7691653784591997,0.9338191894876359,0.9037306122448979,"[[46  7 16]
 [ 7 39  7]
 [ 1  2 50]]"
DrCIFClassifier,207.52312636375427,65.21875,0.8018097689526261,0.7828571428571428,0.7806642014646129,0.9346074076066411,0.8935265306122449,"[[46  5 18]
 [ 8 40  5]
 [ 2  0 51]]"
RocketClassifier,7.77537727355957,85.4921875,0.8391698594654302,0.8114285714285714,0.8020181405895692,0.8716724867796022,0.8585714285714285,"[[40  9 20]
 [ 2 50  1]
 [ 1  0 52]]"
Arsenal,32.93927216529846,76.94921875,0.8378885197489848,0.8114285714285714,0.8016249665884053,0.9146034777229387,0.897061224489796,"[[40 10 19]
 [ 2 50  1]
 [ 1  0 52]]"
