Classifier,Execution Time,Memory Usage,Precision,Accuracy,F1 Score,ROC-AUC Score (Macro),ROC-AUC Score (Micro),Confusion Matrix
MLPClassifier,52.78097891807556,81.421875,0.7953231151615576,0.5577777777777778,0.47753286333226674,0.9429416098833241,0.7980092592592593,"[[291   9   0]
 [ 94 204   0]
 [295   0   7]]"
CNNClassifier,73.36618232727051,70.03515625,0.9933553839421697,0.9933333333333333,0.9933388672269916,0.9998927453788813,0.999912962962963,"[[298   0   2]
 [  1 297   0]
 [  3   0 299]]"
FCNClassifier,342.56612730026245,93.421875,0.9977923976608187,0.9977777777777778,0.9977777287204751,1.0,0.999995061728395,"[[298   0   2]
 [  0 298   0]
 [  0   0 302]]"
MCDCNNClassifier,4.2627668380737305,64.21484375,0.945187806613489,0.9388888888888889,0.9386625952706663,0.9963492113766517,0.9926611111111111,"[[295   0   5]
 [  1 297   0]
 [ 49   0 253]]"
BOSSEnsemble,27.923694133758545,76.3828125,0.9988925802879292,0.9988888888888889,0.9988888919548433,1.0,0.9999993827160494,"[[300   0   0]
 [  0 298   0]
 [  1   0 301]]"
ContractableBOSS,28.227982759475708,72.859375,1.0,1.0,1.0,1.0,1.0,"[[300   0   0]
 [  0 298   0]
 [  0   0 302]]"
IndividualBOSS,1.92219877243042,62.4609375,0.6653938394299584,0.6322222222222222,0.6294511470387799,0.72436801127611,0.7241666666666667,"[[237  39  24]
 [ 84 189  25]
 [124  35 143]]"
TemporalDictionaryEnsemble,93.20062398910522,87.859375,0.9956136528685549,0.9955555555555555,0.9955552611954944,1.0,0.9999836419753086,"[[296   0   4]
 [  0 298   0]
 [  0   0 302]]"
IndividualTDE,3.124593734741211,62.56640625,0.6531339379317997,0.63,0.6291444940438051,0.7152098052030661,0.7150000000000001,"[[228  43  29]
 [ 82 182  34]
 [112  33 157]]"
WEASEL,3.368422508239746,91.68359375,0.9945349258052841,0.9944444444444445,0.9944439078313319,0.9999001527862886,0.9999401234567902,"[[295   0   5]
 [  0 298   0]
 [  0   0 302]]"
MUSE,4.515277862548828,93.6015625,0.9944769369468824,0.9944444444444445,0.9944442144826272,0.9996042292885368,0.9997462962962964,"[[296   0   4]
 [  0 298   0]
 [  1   0 301]]"
ShapeDTW,4.8921120166778564,88.75390625,0.9813020828380044,0.9811111111111112,0.9810947354883185,0.985875637621548,0.9858333333333335,"[[294   4   2]
 [  0 298   0]
 [ 11   0 291]]"
KNeighborsTimeSeriesClassifier,18.418445825576782,62.640625,1.0,1.0,1.0,1.0,1.0,"[[300   0   0]
 [  0 298   0]
 [  0   0 302]]"
Catch22Classifier,2.451378107070923,62.78515625,0.878337926133201,0.8511111111111112,0.8523040995430131,0.9849476791271702,0.9737805555555554,"[[265  28   7]
 [  1 288   9]
 [  2  87 213]]"
FreshPRINCEClassifier,125.75674486160278,253.80078125,0.994488160291439,0.9944444444444445,0.9944497414617237,0.9999233064285793,0.9998904320987654,"[[299   0   1]
 [  0 295   3]
 [  1   0 301]]"
SupervisedTimeSeriesForest,7.660194158554077,63.90625,0.992254420341852,0.9922222222222222,0.9922219002756782,0.999610836054775,0.9997027777777777,"[[295   0   5]
 [  0 298   0]
 [  2   0 300]]"
TimeSeriesForestClassifier,14.560985565185547,62.578125,0.9826434293137042,0.9822222222222222,0.9822970063700821,0.9995886687121548,0.9991728395061729,"[[297   0   3]
 [  6 292   0]
 [  7   0 295]]"
CanonicalIntervalForestClassifier,575.7756295204163,62.74609375,0.9861554845580405,0.9855555555555555,0.9855498540582301,0.9999093906554676,0.9996290123456789,"[[300   0   0]
 [  0 298   0]
 [ 13   0 289]]"
DrCIFClassifier,921.696976184845,65.3515625,0.9933915185054358,0.9933333333333333,0.9933331861662988,0.9999010909351177,0.9998364197530865,"[[299   0   1]
 [  0 298   0]
 [  5   0 297]]"
RocketClassifier,15.348931789398193,132.23046875,1.0,1.0,1.0,1.0,1.0,"[[300   0   0]
 [  0 298   0]
 [  0   0 302]]"
Arsenal,76.0731053352356,98.4609375,1.0,1.0,1.0,1.0,1.0,"[[300   0   0]
 [  0 298   0]
 [  0   0 302]]"
