Classifier,Execution Time,Memory Usage,Precision,Accuracy,F1 Score,ROC-AUC Score (Macro),ROC-AUC Score (Micro),Confusion Matrix
MLPClassifier,815.3394572734833,243.46875,0.9603174603174602,0.9444444444444444,0.9451048951048951,0.9678030303030303,0.9735549943883277,"[[6 0 0 0 0 0 0 0 0 0 0 0]
 [0 6 0 0 0 0 0 0 0 0 0 0]
 [0 1 5 0 0 0 0 0 0 0 0 0]
 [0 0 0 6 0 0 0 0 0 0 0 0]
 [0 0 0 0 6 0 0 0 0 0 0 0]
 [0 0 0 0 0 5 0 0 1 0 0 0]
 [0 0 0 0 0 0 6 0 0 0 0 0]
 [0 0 0 0 0 0 0 6 0 0 0 0]
 [0 0 0 0 0 0 0 0 6 0 0 0]
 [0 0 0 0 0 0 0 0 0 6 0 0]
 [0 0 0 0 0 0 0 0 2 0 4 0]
 [0 0 0 0 0 0 0 0 0 0 0 6]]"
CNNClassifier,197.20653700828552,75.796875,0.8005952380952381,0.7916666666666666,0.7865930365930365,0.9745370370370371,0.9793771043771045,"[[6 0 0 0 0 0 0 0 0 0 0 0]
 [0 6 0 0 0 0 0 0 0 0 0 0]
 [1 0 5 0 0 0 0 0 0 0 0 0]
 [0 0 0 5 0 0 0 1 0 0 0 0]
 [0 0 0 0 6 0 0 0 0 0 0 0]
 [0 0 0 0 0 4 0 0 1 0 0 1]
 [0 0 0 0 0 0 6 0 0 0 0 0]
 [1 0 0 0 0 0 0 4 0 0 1 0]
 [0 0 0 0 0 1 0 1 4 0 0 0]
 [0 0 0 0 0 0 1 0 0 5 0 0]
 [0 0 0 0 0 0 0 1 2 0 2 1]
 [0 0 0 0 1 1 0 0 0 0 0 4]]"
FCNClassifier,7529.392174482346,204.890625,0.988095238095238,0.9861111111111112,0.9860139860139862,1.0,0.9999824635241301,"[[6 0 0 0 0 0 0 0 0 0 0 0]
 [0 6 0 0 0 0 0 0 0 0 0 0]
 [0 0 6 0 0 0 0 0 0 0 0 0]
 [0 0 0 6 0 0 0 0 0 0 0 0]
 [0 0 0 0 6 0 0 0 0 0 0 0]
 [0 0 0 0 0 6 0 0 0 0 0 0]
 [0 0 0 0 0 0 6 0 0 0 0 0]
 [0 0 0 0 0 0 0 6 0 0 0 0]
 [0 0 0 0 0 0 0 0 6 0 0 0]
 [0 0 0 0 0 0 0 0 0 6 0 0]
 [0 0 0 0 0 0 0 0 1 0 5 0]
 [0 0 0 0 0 0 0 0 0 0 0 6]]"
MCDCNNClassifier,89.01856112480164,338.90234375,0.9347222222222222,0.9166666666666666,0.9183982683982683,0.8526936026936028,0.8636188271604937,"[[6 0 0 0 0 0 0 0 0 0 0 0]
 [0 6 0 0 0 0 0 0 0 0 0 0]
 [0 0 5 0 0 0 0 0 0 0 1 0]
 [1 0 0 5 0 0 0 0 0 0 0 0]
 [0 0 0 0 6 0 0 0 0 0 0 0]
 [0 0 0 0 0 5 0 0 1 0 0 0]
 [0 0 0 0 0 0 6 0 0 0 0 0]
 [1 0 0 0 0 0 0 5 0 0 0 0]
 [0 0 0 0 0 0 0 0 6 0 0 0]
 [0 0 0 0 0 0 0 0 0 6 0 0]
 [0 0 0 0 0 0 0 0 2 0 4 0]
 [0 0 0 0 0 0 0 0 0 0 0 6]]"
TemporalDictionaryEnsemble,1282.6148235797882,746.2890625,0.988095238095238,0.9861111111111112,0.9860139860139862,1.0,0.9999649270482603,"[[6 0 0 0 0 0 0 0 0 0 0 0]
 [0 6 0 0 0 0 0 0 0 0 0 0]
 [0 0 6 0 0 0 0 0 0 0 0 0]
 [0 0 0 6 0 0 0 0 0 0 0 0]
 [0 0 0 0 6 0 0 0 0 0 0 0]
 [0 0 0 0 0 6 0 0 0 0 0 0]
 [0 0 0 0 0 0 6 0 0 0 0 0]
 [0 0 0 0 0 0 0 6 0 0 0 0]
 [0 0 0 0 0 0 0 0 6 0 0 0]
 [0 0 0 0 0 0 0 0 0 6 0 0]
 [0 0 0 0 0 0 0 0 1 0 5 0]
 [0 0 0 0 0 0 0 0 0 0 0 6]]"
IndividualTDE,14.390767812728882,63.62890625,0.5286886724386725,0.5694444444444444,0.5261686842569195,0.7651515151515151,0.7651515151515151,"[[1 0 3 1 0 0 1 0 0 0 0 0]
 [0 5 0 0 0 0 1 0 0 0 0 0]
 [0 0 3 2 0 0 0 1 0 0 0 0]
 [0 0 0 6 0 0 0 0 0 0 0 0]
 [0 0 0 0 6 0 0 0 0 0 0 0]
 [0 0 0 0 0 6 0 0 0 0 0 0]
 [1 3 0 0 0 0 2 0 0 0 0 0]
 [0 0 0 2 0 0 0 3 0 0 0 1]
 [0 0 0 0 1 1 0 0 2 0 1 1]
 [0 0 0 0 0 0 0 0 0 6 0 0]
 [0 0 0 0 0 0 0 0 2 3 0 1]
 [0 0 0 0 0 1 0 0 1 0 3 1]]"
MUSE,528.7376110553741,1142.59765625,0.976190476190476,0.9722222222222222,0.9720279720279721,0.9987373737373737,0.9989478114478114,"[[6 0 0 0 0 0 0 0 0 0 0 0]
 [0 6 0 0 0 0 0 0 0 0 0 0]
 [0 0 6 0 0 0 0 0 0 0 0 0]
 [0 0 0 6 0 0 0 0 0 0 0 0]
 [0 0 0 0 6 0 0 0 0 0 0 0]
 [0 0 0 0 0 6 0 0 0 0 0 0]
 [0 0 0 0 0 0 6 0 0 0 0 0]
 [0 0 0 0 0 0 0 5 0 0 0 1]
 [0 0 0 0 0 0 0 0 6 0 0 0]
 [0 0 0 0 0 0 0 0 0 6 0 0]
 [0 0 0 0 0 0 0 0 1 0 5 0]
 [0 0 0 0 0 0 0 0 0 0 0 6]]"
KNeighborsTimeSeriesClassifier,425.00098943710327,75.484375,0.9722222222222222,0.9583333333333334,0.9555555555555555,0.9772727272727272,0.9772727272727274,"[[6 0 0 0 0 0 0 0 0 0 0 0]
 [0 6 0 0 0 0 0 0 0 0 0 0]
 [0 0 6 0 0 0 0 0 0 0 0 0]
 [0 0 0 6 0 0 0 0 0 0 0 0]
 [0 0 0 0 6 0 0 0 0 0 0 0]
 [0 0 0 0 0 6 0 0 0 0 0 0]
 [0 0 0 0 0 0 6 0 0 0 0 0]
 [0 0 0 0 0 0 0 6 0 0 0 0]
 [0 0 0 0 0 0 0 0 6 0 0 0]
 [0 0 0 0 0 0 0 0 0 6 0 0]
 [0 0 0 0 0 0 0 0 3 0 3 0]
 [0 0 0 0 0 0 0 0 0 0 0 6]]"
Catch22Classifier,4.582903623580933,74.08203125,0.9672619047619047,0.9583333333333334,0.9574425574425575,0.998526936026936,0.9994826739618407,"[[5 0 0 1 0 0 0 0 0 0 0 0]
 [0 6 0 0 0 0 0 0 0 0 0 0]
 [0 0 6 0 0 0 0 0 0 0 0 0]
 [0 0 0 6 0 0 0 0 0 0 0 0]
 [0 0 0 0 6 0 0 0 0 0 0 0]
 [0 0 0 0 0 6 0 0 0 0 0 0]
 [0 0 0 0 0 0 6 0 0 0 0 0]
 [0 0 0 0 0 0 0 6 0 0 0 0]
 [0 0 0 0 0 0 0 0 6 0 0 0]
 [0 0 0 0 0 0 0 0 0 6 0 0]
 [0 0 0 0 0 0 0 0 2 0 4 0]
 [0 0 0 0 0 0 0 0 0 0 0 6]]"
FreshPRINCEClassifier,1937.9023559093475,806.81640625,0.988095238095238,0.9861111111111112,0.9860139860139859,0.9995791245791246,0.999815867003367,"[[5 0 0 1 0 0 0 0 0 0 0 0]
 [0 6 0 0 0 0 0 0 0 0 0 0]
 [0 0 6 0 0 0 0 0 0 0 0 0]
 [0 0 0 6 0 0 0 0 0 0 0 0]
 [0 0 0 0 6 0 0 0 0 0 0 0]
 [0 0 0 0 0 6 0 0 0 0 0 0]
 [0 0 0 0 0 0 6 0 0 0 0 0]
 [0 0 0 0 0 0 0 6 0 0 0 0]
 [0 0 0 0 0 0 0 0 6 0 0 0]
 [0 0 0 0 0 0 0 0 0 6 0 0]
 [0 0 0 0 0 0 0 0 0 0 6 0]
 [0 0 0 0 0 0 0 0 0 0 0 6]]"
