Classifier,Execution Time,Memory Usage,Precision,Accuracy,F1 Score,ROC-AUC Score (Macro),ROC-AUC Score (Micro),Confusion Matrix
MLPClassifier,29.937845706939697,83.39453125,0.4042915338879656,0.5947712418300654,0.46838123307386387,0.7427236168803942,0.7397119341563787,"[[ 0 11 22  0]
 [ 0 89  3  0]
 [ 0  1 93  0]
 [ 0  0 87  0]]"
CNNClassifier,85.931813955307,74.48046875,0.9727168746286392,0.9705882352941176,0.969330476715037,0.9999498193496588,0.9986045253250174,"[[25  7  0  1]
 [ 0 92  0  0]
 [ 0  1 93  0]
 [ 0  0  0 87]]"
FCNClassifier,607.058543920517,93.19921875,0.09039258404887009,0.3006535947712418,0.13899563175353893,0.46668443944963267,0.4678756034004016,"[[ 0 33  0  0]
 [ 0 92  0  0]
 [ 0 94  0  0]
 [ 0 87  0  0]]"
MCDCNNClassifier,4.379314184188843,74.98046875,0.9441263230956098,0.9313725490196079,0.9308527604693986,0.9970251142634411,0.9936918848875789,"[[23 10  0  0]
 [ 0 92  0  0]
 [ 0 11 83  0]
 [ 0  0  0 87]]"
BOSSEnsemble,44.9449999332428,80.703125,0.9263969382461134,0.9183006535947712,0.9131249964906774,0.9956804125498927,0.9947402708360031,"[[18  7  8  0]
 [ 0 92  0  0]
 [ 0 10 84  0]
 [ 0  0  0 87]]"
ContractableBOSS,12.71451187133789,78.2578125,0.7724292920371352,0.8594771241830066,0.8123117005992109,0.9903962853518755,0.9774125336409073,"[[ 0  9 24  0]
 [ 0 92  0  0]
 [ 0 10 84  0]
 [ 0  0  0 87]]"
IndividualBOSS,3.8949098587036133,68.71875,0.9055716634739307,0.8986928104575164,0.8957366670673559,0.9110882837751201,0.9324618736383442,"[[21  8  0  4]
 [ 0 92  0  0]
 [ 1  0 79 14]
 [ 0  0  4 83]]"
TemporalDictionaryEnsemble,82.98603796958923,82.4453125,0.7965865442222086,0.8856209150326797,0.8372714582722098,0.9879160778837114,0.9820653025189742,"[[ 0  4 26  3]
 [ 0 92  0  0]
 [ 0  2 92  0]
 [ 0  0  0 87]]"
IndividualTDE,3.1549782752990723,62.61328125,0.9396037876430032,0.9379084967320261,0.9372727622018466,0.9437756704650571,0.9564270152505447,"[[27  1  1  4]
 [ 0 92  0  0]
 [ 0  6 88  0]
 [ 0  0  7 80]]"
WEASEL,4.181509971618652,90.69140625,0.9432249489593182,0.9379084967320261,0.9366972519369483,0.984088304502365,0.9882986600595213,"[[24  5  4  0]
 [ 0 92  0  0]
 [ 0  9 85  0]
 [ 0  0  1 86]]"
MUSE,5.940521478652954,115.90625,0.9584142394822007,0.954248366013072,0.9535459698881037,0.9996209854198614,0.998309054921896,"[[26  4  0  3]
 [ 0 92  0  0]
 [ 0  7 87  0]
 [ 0  0  0 87]]"
ShapeDTW,3.6206984519958496,88.16796875,0.9808924166904536,0.9803921568627451,0.9795386337242846,0.973802551565029,0.9869281045751634,"[[27  2  1  3]
 [ 0 92  0  0]
 [ 0  0 94  0]
 [ 0  0  0 87]]"
KNeighborsTimeSeriesClassifier,23.68421769142151,62.453125,0.629135614429732,0.630718954248366,0.611125368196199,0.7598818703548158,0.7538126361655774,"[[25  3  3  2]
 [ 0 89  1  2]
 [ 0 39 32 23]
 [ 0 12 28 47]]"
Catch22Classifier,2.0725479125976562,62.90234375,0.9440287191644987,0.9379084967320261,0.936621817793346,0.9992344392270524,0.9939624361000755,"[[24  5  3  1]
 [ 0 92  0  0]
 [ 0 10 84  0]
 [ 0  0  0 87]]"
FreshPRINCEClassifier,149.6801574230194,174.81640625,0.8969187675070028,0.8431372549019608,0.8381713647758632,0.9981433159373745,0.9853012374158087,"[[14 19  0  0]
 [ 0 92  0  0]
 [ 0 29 65  0]
 [ 0  0  0 87]]"
SupervisedTimeSeriesForest,11.652799844741821,63.0,0.8872820085787024,0.8431372549019608,0.838226855516588,0.9918698044450754,0.9808816409643015,"[[16 14  3  0]
 [ 0 92  0  0]
 [ 0 31 63  0]
 [ 0  0  0 87]]"
TimeSeriesForestClassifier,17.26298499107361,62.55859375,0.9224119755429053,0.8954248366013072,0.8956292440243913,0.9976916900843035,0.9884072365329574,"[[25  8  0  0]
 [ 0 92  0  0]
 [ 0 24 70  0]
 [ 0  0  0 87]]"
CanonicalIntervalForestClassifier,807.231894493103,62.73828125,0.9065455616950542,0.8758169934640523,0.8719021552447729,0.9987971940689223,0.9912231050735473,"[[17 13  1  2]
 [ 0 92  0  0]
 [ 0 22 72  0]
 [ 0  0  0 87]]"
DrCIFClassifier,579.6258735656738,64.7421875,0.9090521039876625,0.8758169934640523,0.8735820432556443,0.9955189400567762,0.9865329574095433,"[[19 12  0  2]
 [ 0 92  0  0]
 [ 0 24 70  0]
 [ 0  0  0 87]]"
RocketClassifier,22.591952562332153,86.73828125,0.9664874575692863,0.9640522875816994,0.9638947755310784,0.9691225659671754,0.9760348583877996,"[[29  2  1  1]
 [ 0 92  0  0]
 [ 0  7 87  0]
 [ 0  0  0 87]]"
Arsenal,107.4993941783905,73.3671875,0.9759477124183006,0.9738562091503268,0.9738371115938974,0.9841491817441685,0.9897706722485653,"[[29  4  0  0]
 [ 0 92  0  0]
 [ 0  4 90  0]
 [ 0  0  0 87]]"
