Classifier,Execution Time,Memory Usage,Precision,Accuracy,F1 Score,ROC-AUC Score (Macro),ROC-AUC Score (Micro),Confusion Matrix
MLPClassifier,299.0083849430084,137.66796875,0.5350208225683424,0.5289855072463768,0.5298465758267826,0.7475855601692818,0.757806483231814,"[[10  7 13  4]
 [ 8 18 10  1]
 [11  4 14  1]
 [ 2  3  1 31]]"
CNNClassifier,118.92552375793457,71.390625,0.7971301654791154,0.782608695652174,0.7838770363118721,0.9325326820182188,0.9328397395505145,"[[23  2  6  3]
 [ 2 30  5  0]
 [ 2  0 27  1]
 [ 4  2  3 28]]"
FCNClassifier,2085.937510728836,132.43359375,0.9581781496965671,0.9565217391304348,0.9562985118911265,0.9970685707435853,0.996359308268571,"[[30  0  2  2]
 [ 0 36  1  0]
 [ 0  0 30  0]
 [ 1  0  0 36]]"
MCDCNNClassifier,18.35227680206299,87.69140625,0.850949372688503,0.8478260869565217,0.8462991079022935,0.8410009163267026,0.8637541132815235,"[[24  1  4  5]
 [ 1 32  4  0]
 [ 1  2 27  0]
 [ 2  1  0 34]]"
TemporalDictionaryEnsemble,373.6165156364441,192.15234375,0.9350069261199456,0.9347826086956522,0.9337137602428688,0.9923867767290161,0.9945302107400407,"[[28  0  2  4]
 [ 0 37  0  0]
 [ 3  0 27  0]
 [ 0  0  0 37]]"
IndividualTDE,5.065233945846558,62.6484375,0.8860368818912803,0.8623188405797102,0.8648812678960484,0.9110254356323081,0.9082125603864735,"[[26  0  5  3]
 [ 0 32  4  1]
 [ 0  0 30  0]
 [ 2  0  4 31]]"
MUSE,24.53079342842102,180.8984375,0.9205198738160424,0.9202898550724637,0.9192581675264063,0.9823897415627176,0.9823391444374432,"[[27  0  2  5]
 [ 0 37  0  0]
 [ 3  0 27  0]
 [ 1  0  0 36]]"
KNeighborsTimeSeriesClassifier,29.574074029922485,62.80859375,0.9171794724330956,0.9130434782608695,0.9108019889320235,0.9423976275679828,0.9420289855072465,"[[25  0  4  5]
 [ 0 36  1  0]
 [ 0  0 30  0]
 [ 2  0  0 35]]"
Catch22Classifier,4.563374280929565,65.21875,0.9452570181882944,0.9420289855072463,0.9405487046220445,0.9874587778738673,0.9872138206259189,"[[27  0  2  5]
 [ 0 37  0  0]
 [ 1  0 29  0]
 [ 0  0  0 37]]"
FreshPRINCEClassifier,375.5275208950043,391.76953125,0.9345707263327401,0.9347826086956522,0.9341719137619153,0.9875045587061457,0.9864436742981166,"[[29  0  3  2]
 [ 0 37  0  0]
 [ 1  0 29  0]
 [ 2  1  0 34]]"
SupervisedTimeSeriesForest,40.40480709075928,63.015625,0.9369531164868695,0.9347826086956522,0.9331991928906374,0.9772981955334291,0.9799674438143248,"[[27  0  3  4]
 [ 0 37  0  0]
 [ 1  0 29  0]
 [ 0  1  0 36]]"
TimeSeriesForestClassifier,10.508222341537476,62.7109375,0.8083835619170119,0.8043478260869565,0.8057650249322019,0.9597349104738446,0.9597861093607787,"[[25  5  1  3]
 [ 5 30  2  0]
 [ 3  2 25  0]
 [ 3  1  2 31]]"
CanonicalIntervalForestClassifier,258.1893038749695,62.90625,0.9281921539230384,0.927536231884058,0.9272422083770645,0.9856232061343932,0.9860498494713996,"[[28  0  1  5]
 [ 0 37  0  0]
 [ 2  0 28  0]
 [ 2  0  0 35]]"
DrCIFClassifier,442.9966948032379,63.19921875,0.9576534985195574,0.9565217391304348,0.9557647226259128,0.9800897527382677,0.9816302597493524,"[[29  0  2  3]
 [ 0 37  0  0]
 [ 1  0 29  0]
 [ 0  0  0 37]]"
RocketClassifier,28.216205835342407,106.22265625,0.9351408211977928,0.9347826086956522,0.9346837642065436,0.9556119622041288,0.9565217391304348,"[[29  0  1  4]
 [ 0 37  0  0]
 [ 2  0 28  0]
 [ 2  0  0 35]]"
Arsenal,133.40071558952332,78.21875,0.9423511928246404,0.9420289855072463,0.9420863014820273,0.9698742220755543,0.9703493663796121,"[[30  0  1  3]
 [ 0 37  0  0]
 [ 2  0 28  0]
 [ 2  0  0 35]]"
