Classifier,Execution Time,Memory Usage,Precision,Accuracy,F1 Score,ROC-AUC Score (Macro),ROC-AUC Score (Micro),Confusion Matrix
MLPClassifier,1585.0376420021057,170.51953125,0.2549537707746387,0.2585551330798479,0.25042266384681117,0.46886169386169385,0.46837937997272383,"[[24 12 21  9]
 [15 10 30 11]
 [20  9 22 15]
 [27 12 14 12]]"
CNNClassifier,390.09222650527954,68.8359375,0.22730678887092376,0.23193916349809887,0.2289181916231798,0.49792428383798937,0.49553990949702903,"[[24 13 18 11]
 [15 11 24 16]
 [19 14 14 19]
 [18 22 13 12]]"
FCNClassifier,86787.33105802536,1049.9765625,0.2711140557808603,0.26996197718631176,0.2635273965862623,0.4989455271181159,0.4980265725975509,"[[17 12 27 10]
 [12 12 27 15]
 [ 9 15 28 14]
 [15 12 24 14]]"
MCDCNNClassifier,161.95164942741394,274.29296875,0.19118197454231864,0.19011406844106463,0.19026287077631704,0.4631136629867594,0.461059144992699,"[[17 16 16 17]
 [12 12 24 18]
 [14 24 12 16]
 [22  9 25  9]]"
TemporalDictionaryEnsemble,1055.3562338352203,565.8984375,0.22290391183862862,0.22813688212927757,0.22111024580759428,0.4671096951553805,0.4672276115986448,"[[12 10 26 18]
 [19  8 21 18]
 [13 11 21 21]
 [15 11 20 19]]"
IndividualTDE,39.411020040512085,65.75390625,0.24828897338403041,0.2509505703422053,0.24898731180100003,0.5030287253637508,0.5031685678073511,"[[20 14 19 13]
 [12 13 21 20]
 [13 17 21 15]
 [21 16 16 12]]"
MUSE,983.3013367652893,876.96875,0.21438536945142603,0.22053231939163498,0.21629452078541955,0.5083476309364634,0.5082141807264333,"[[10 17 25 14]
 [17  9 15 25]
 [ 9 16 22 19]
 [18 17 13 17]]"
KNeighborsTimeSeriesClassifier,7711.778369426727,91.30078125,0.25286047677068496,0.2585551330798479,0.2546452026557279,0.5058905138854378,0.5057034220532319,"[[13 14 19 20]
 [15 11 22 18]
 [13 19 21 13]
 [16 14 12 23]]"
Catch22Classifier,11.642873525619507,90.02734375,0.26588891501212025,0.2661596958174905,0.2650484280299379,0.4927469738383445,0.49332552636778515,"[[22 11 18 15]
 [20 12 11 23]
 [11 15 18 22]
 [14 17 16 18]]"
FreshPRINCEClassifier,7705.558716535568,1102.27734375,0.2446299663856285,0.23954372623574144,0.24120172181008684,0.4957210231956425,0.4943544073211988,"[[17 16 18 15]
 [15 16 14 21]
 [11 14 16 25]
 [12 23 16 14]]"
SupervisedTimeSeriesForest,221.3253858089447,106.47265625,0.22799252418655763,0.22813688212927757,0.22691854858472668,0.5074908593944127,0.5101948368006863,"[[16 16 19 15]
 [11 12 21 22]
 [18 12 13 23]
 [16 15 15 19]]"
TimeSeriesForestClassifier,66.1792197227478,73.15625,0.222282252623387,0.22053231939163498,0.22009583829115204,0.4499960065315395,0.4490643689128559,"[[14 15 22 15]
 [10 14 19 23]
 [14 16 12 24]
 [16 17 14 18]]"
CanonicalIntervalForestClassifier,2776.747117996216,93.02734375,0.22842930865859526,0.22813688212927757,0.22784637807882932,0.46039874536067427,0.46356749410863246,"[[19 14 19 14]
 [16 12 14 24]
 [16 14 15 21]
 [16 17 18 14]]"
DrCIFClassifier,3057.0543773174286,101.01953125,0.21063967515655355,0.20912547528517111,0.20920202329611967,0.46650500514713716,0.47250454201545,"[[17 14 22 13]
 [10  9 18 29]
 [16 14 16 20]
 [16 21 15 13]]"
RocketClassifier,258.5696692466736,123.8984375,0.21736681602743615,0.21673003802281368,0.2159800743237374,0.4779250923920975,0.4778200253485425,"[[13 17 18 18]
 [ 9 15 19 23]
 [16 21 12 17]
 [16 20 12 17]]"
Arsenal,1311.6137237548828,84.8203125,0.17021648267297065,0.17110266159695817,0.1701848130483577,0.4605864383783165,0.4602639910942763,"[[10 22 23 11]
 [14 11 18 23]
 [17 20  8 21]
 [15 19 15 16]]"
