Classifier,Execution Time (s),Memory Usage (MB),Accuracy,Precision,F1 Score,ROC-AUC Score (Macro),ROC-AUC Score (Micro)
MLPClassifier,37.17,79.06,0.6,0.4222,0.4867,0.7833,0.8222
CNNClassifier,62.68,68.6,0.7333,0.7667,0.7156,0.8333,0.8444
FCNClassifier,433.45,89.43,0.7333,0.7,0.6844,0.8583,0.8861
MCDCNNClassifier,3.97,71.75,0.7,0.7111,0.68,0.8417,0.8722
BOSSEnsemble,10.87,67.63,0.7667,0.7111,0.7311,0.8875,0.8861
ContractableBOSS,4.82,63.5,0.7667,0.7222,0.7111,0.95,0.9389
IndividualBOSS,9.83,0.14,0.6333,0.6889,0.62,0.725,0.725
TemporalDictionaryEnsemble,18.95,77.81,0.8,0.7444,0.7467,0.9667,0.9472
IndividualTDE,4.14,38.03,0.5667,0.4711,0.4825,0.675,0.675
WEASEL,2.17,63.11,0.7667,0.7778,0.7467,0.9417,0.9417
MUSE,2.37,66.09,0.8,0.8111,0.78,0.9667,0.9583
ShapeDTW,9.85,0.11,0.8333,0.8667,0.8267,0.875,0.875
KNeighborsTimeSeriesClassifier,9.84,0.12,0.6667,0.6778,0.6333,0.75,0.75
Catch22Classifier,1.97,62.75,0.6667,0.6333,0.6267,0.7833,0.8278
FreshPRINCEClassifier,36.6,77.16,0.6333,0.6333,0.6044,0.8542,0.8639
SupervisedTimeSeriesForest,5.71,62.96,0.7333,0.7111,0.6978,0.8833,0.8986
TimeSeriesForestClassifier,3.4,62.69,0.7,0.6556,0.6511,0.8708,0.8847
CanonicalIntervalForestClassifier,18.83,62.66,0.7,0.6667,0.66,0.8917,0.8944
DrCIFClassifier,31.23,62.81,0.7333,0.7,0.6933,0.9083,0.9111
RocketClassifier,2.85,63.97,0.8,0.8111,0.7689,0.85,0.85
Arsenal,5.16,63.71,0.8,0.8111,0.7689,0.8833,0.8694
