Classifier,Execution Time,Memory Usage,Precision,Accuracy,F1 Score,ROC-AUC Score (Macro),ROC-AUC Score (Micro),Confusion Matrix
MLPClassifier,58.07256865501404,148.30078125,0.16666666666666666,0.26666666666666666,0.20346320346320343,0.2733333333333333,0.37111111111111106,"[[0 3 2]
 [0 1 4]
 [0 2 3]]"
CNNClassifier,91.2406849861145,70.0,0.14285714285714282,0.2,0.16666666666666666,0.36000000000000004,0.40888888888888886,"[[0 3 2]
 [1 1 3]
 [0 3 2]]"
FCNClassifier,859.6565413475037,103.1015625,0.2222222222222222,0.3333333333333333,0.24019607843137256,0.43333333333333335,0.47555555555555556,"[[4 0 1]
 [4 0 1]
 [4 0 1]]"
MCDCNNClassifier,10.658125877380371,109.33203125,0.31666666666666665,0.26666666666666666,0.2644688644688645,0.30666666666666664,0.3977777777777778,"[[1 1 3]
 [1 1 3]
 [0 3 2]]"
TemporalDictionaryEnsemble,76.8423159122467,134.04296875,0.24444444444444444,0.3333333333333333,0.2761904761904762,0.47333333333333333,0.4577777777777778,"[[0 2 3]
 [0 2 3]
 [1 1 3]]"
IndividualTDE,4.218280792236328,62.859375,0.48333333333333334,0.4666666666666667,0.4707070707070707,0.6,0.6000000000000001,"[[1 1 3]
 [2 3 0]
 [2 0 3]]"
MUSE,61.92183589935303,171.7890625,0.4166666666666667,0.3333333333333333,0.35256410256410253,0.5466666666666667,0.5333333333333333,"[[3 1 1]
 [0 0 5]
 [0 3 2]]"
KNeighborsTimeSeriesClassifier,11.650333404541016,69.609375,0.2361111111111111,0.2,0.20868945868945868,0.39999999999999997,0.4,"[[1 0 4]
 [1 1 3]
 [1 3 1]]"
Catch22Classifier,48.16958045959473,118.31640625,0.16666666666666666,0.2,0.18181818181818177,0.4033333333333333,0.4222222222222222,"[[0 3 2]
 [2 1 2]
 [1 2 2]]"
FreshPRINCEClassifier,235.22490787506104,197.73828125,0.5407407407407407,0.3333333333333333,0.3396825396825397,0.35333333333333333,0.44888888888888895,"[[1 0 4]
 [0 2 3]
 [0 3 2]]"
SupervisedTimeSeriesForest,41.78040814399719,96.3203125,0.14393939393939395,0.2,0.15740740740740744,0.33666666666666667,0.37555555555555553,"[[0 0 5]
 [0 1 4]
 [0 3 2]]"
TimeSeriesForestClassifier,10.265379667282104,65.1171875,0.16666666666666666,0.26666666666666666,0.2,0.42333333333333334,0.4111111111111111,"[[0 2 3]
 [0 1 4]
 [0 2 3]]"
CanonicalIntervalForestClassifier,134.67138171195984,64.90625,0.19444444444444445,0.2,0.18589743589743588,0.38666666666666666,0.4,"[[1 2 2]
 [1 0 4]
 [1 2 2]]"
DrCIFClassifier,184.19957184791565,121.01953125,0.18333333333333332,0.26666666666666666,0.2074074074074074,0.4133333333333334,0.39444444444444443,"[[0 2 3]
 [0 1 4]
 [1 1 3]]"
RocketClassifier,11.369649887084961,66.8203125,0.26666666666666666,0.26666666666666666,0.2666666666666667,0.45,0.44999999999999996,"[[2 1 2]
 [2 1 2]
 [1 3 1]]"
Arsenal,48.93555212020874,38.9765625,0.26666666666666666,0.26666666666666666,0.2666666666666667,0.45666666666666655,0.4533333333333333,"[[2 1 2]
 [2 1 2]
 [1 3 1]]"
