Classifier,Execution Time,Memory Usage,Precision,Accuracy,F1 Score,ROC-AUC Score (Macro),ROC-AUC Score (Micro),Confusion Matrix
MLPClassifier,84.93298292160034,102.02734375,0.7470238095238095,0.675,0.6838118022328548,0.8908333333333334,0.9097916666666667,"[[5 5 0 0]
 [2 8 0 0]
 [1 0 9 0]
 [4 1 0 5]]"
CNNClassifier,87.19869995117188,65.3984375,0.8619047619047621,0.85,0.8395833333333332,0.9450000000000001,0.9629166666666668,"[[ 5  1  0  4]
 [ 1  9  0  0]
 [ 0  0 10  0]
 [ 0  0  0 10]]"
FCNClassifier,345.35527515411377,94.2578125,1.0,1.0,1.0,1.0,1.0,"[[10  0  0  0]
 [ 0 10  0  0]
 [ 0  0 10  0]
 [ 0  0  0 10]]"
MCDCNNClassifier,11.703120470046997,99.1484375,0.9166666666666667,0.9,0.8920454545454545,0.9616666666666666,0.9652083333333333,"[[ 6  2  0  2]
 [ 0 10  0  0]
 [ 0  0 10  0]
 [ 0  0  0 10]]"
TemporalDictionaryEnsemble,97.729656457901,113.91796875,1.0,1.0,1.0,1.0,1.0,"[[10  0  0  0]
 [ 0 10  0  0]
 [ 0  0 10  0]
 [ 0  0  0 10]]"
IndividualTDE,2.218118906021118,62.640625,0.9356060606060606,0.925,0.9212503183091417,0.9666666666666667,0.9666666666666666,"[[ 7  0  1  2]
 [ 0 10  0  0]
 [ 0  0 10  0]
 [ 0  0  0 10]]"
MUSE,7.13764214515686,78.734375,1.0,1.0,1.0,1.0,1.0,"[[10  0  0  0]
 [ 0 10  0  0]
 [ 0  0 10  0]
 [ 0  0  0 10]]"
KNeighborsTimeSeriesClassifier,2.038221597671509,62.66015625,0.9285714285714286,0.9,0.8958333333333333,0.9333333333333333,0.9333333333333333,"[[ 6  0  0  4]
 [ 0 10  0  0]
 [ 0  0 10  0]
 [ 0  0  0 10]]"
Catch22Classifier,2.71728253364563,64.796875,0.9772727272727273,0.975,0.974937343358396,1.0,0.9994791666666667,"[[10  0  0  0]
 [ 1  9  0  0]
 [ 0  0 10  0]
 [ 0  0  0 10]]"
FreshPRINCEClassifier,199.51250886917114,453.234375,1.0,1.0,1.0,1.0,1.0,"[[10  0  0  0]
 [ 0 10  0  0]
 [ 0  0 10  0]
 [ 0  0  0 10]]"
SupervisedTimeSeriesForest,29.473187923431396,62.8203125,0.9583333333333334,0.95,0.9494949494949495,1.0,0.9991666666666668,"[[10  0  0  0]
 [ 0 10  0  0]
 [ 2  0  8  0]
 [ 0  0  0 10]]"
TimeSeriesForestClassifier,6.363245248794556,62.4765625,1.0,1.0,1.0,1.0,1.0,"[[10  0  0  0]
 [ 0 10  0  0]
 [ 0  0 10  0]
 [ 0  0  0 10]]"
CanonicalIntervalForestClassifier,85.02919673919678,62.87109375,1.0,1.0,1.0,1.0,1.0,"[[10  0  0  0]
 [ 0 10  0  0]
 [ 0  0 10  0]
 [ 0  0  0 10]]"
DrCIFClassifier,105.42710208892822,77.8984375,1.0,1.0,1.0,1.0,0.9997916666666666,"[[10  0  0  0]
 [ 0 10  0  0]
 [ 0  0 10  0]
 [ 0  0  0 10]]"
RocketClassifier,4.411623477935791,109.90234375,1.0,1.0,1.0,1.0,1.0,"[[10  0  0  0]
 [ 0 10  0  0]
 [ 0  0 10  0]
 [ 0  0  0 10]]"
Arsenal,17.957923889160156,72.640625,1.0,1.0,1.0,1.0,1.0,"[[10  0  0  0]
 [ 0 10  0  0]
 [ 0  0 10  0]
 [ 0  0  0 10]]"
