Classifier,Execution Time,Memory Usage,Precision,Accuracy,F1 Score,ROC-AUC Score (Macro),ROC-AUC Score (Micro),Confusion Matrix
MLPClassifier,119.1999990940094,84.625,0.683442570958665,0.7228915662650602,0.6852602296989391,0.8163716909617897,0.8794858147449235,"[[ 74  15   0]
 [  7 103   8]
 [  0  39   3]]"
CNNClassifier,90.3053834438324,67.828125,0.8037129982687744,0.8032128514056225,0.8032458906710409,0.8955702398483737,0.9111788519540007,"[[82  2  5]
 [ 8 95 15]
 [ 2 17 23]]"
FCNClassifier,2528.4524433612823,188.21484375,0.9844624399236289,0.9839357429718876,0.9839260218998684,0.999908211473593,0.9988871147239561,"[[ 87   2   0]
 [  0 118   0]
 [  0   2  40]]"
MCDCNNClassifier,9.57188105583191,80.85546875,0.7440778789137742,0.7590361445783133,0.7494521839903365,0.8300760690471852,0.8645183142207383,"[[85  3  1]
 [12 89 17]
 [ 3 24 15]]"
BOSSEnsemble,108.9786319732666,179.9921875,0.988019304107185,0.9879518072289156,0.9879530321989498,0.9999176095511403,0.999693553329785,"[[ 88   1   0]
 [  1 117   0]
 [  0   1  41]]"
ContractableBOSS,32.58896803855896,144.76171875,1.0,1.0,1.0,1.0,1.0,"[[ 89   0   0]
 [  0 118   0]
 [  0   0  42]]"
IndividualBOSS,1.7847568988800049,62.6328125,0.9616377771170856,0.9598393574297188,0.9598850022308434,0.9752540367390509,0.969879518072289,"[[ 87   1   1]
 [  5 110   3]
 [  0   0  42]]"
TemporalDictionaryEnsemble,246.18946886062622,197.23828125,1.0,1.0,1.0,1.0,0.9999999999999999,"[[ 89   0   0]
 [  0 118   0]
 [  0   0  42]]"
IndividualTDE,4.423837184906006,62.51171875,0.9281975199472713,0.9236947791164659,0.9240657377514196,0.9513508821664262,0.9427710843373494,"[[ 82   3   4]
 [  8 106   4]
 [  0   0  42]]"
WEASEL,6.858112573623657,142.828125,0.9960176841821066,0.9959839357429718,0.9959810636380895,0.9999765917602996,0.9999758068418251,"[[ 88   1   0]
 [  0 118   0]
 [  0   0  42]]"
MUSE,11.618887424468994,162.2578125,1.0,1.0,1.0,1.0,1.0,"[[ 89   0   0]
 [  0 118   0]
 [  0   0  42]]"
ShapeDTW,13.283775806427002,105.5703125,0.762164646044995,0.7590361445783133,0.7605376784418533,0.786027336453997,0.819277108433735,"[[82  4  3]
 [ 4 90 24]
 [ 3 22 17]]"
KNeighborsTimeSeriesClassifier,214.36046290397644,65.62109375,0.8769106358001493,0.8674698795180723,0.87063131703137,0.8952013310177666,0.9006024096385542,"[[84  5  0]
 [ 1 99 18]
 [ 2  7 33]]"
Catch22Classifier,2.074923038482666,63.0703125,0.9699113915981386,0.9678714859437751,0.967108999453995,0.998076426959634,0.9970040805793455,"[[ 88   1   0]
 [  0 118   0]
 [  0   7  35]]"
FreshPRINCEClassifier,174.47705173492432,191.8359375,1.0,1.0,1.0,1.0,0.9999919356139417,"[[ 89   0   0]
 [  0 118   0]
 [  0   0  42]]"
SupervisedTimeSeriesForest,14.036739826202393,64.703125,0.9426873018750789,0.9397590361445783,0.9389093524181973,0.9933140400259889,0.9906896662957049,"[[ 83   6   0]
 [  0 117   1]
 [  2   6  34]]"
TimeSeriesForestClassifier,11.87502908706665,62.6015625,0.7952954675846241,0.8072289156626506,0.7901405842783339,0.948965622021905,0.9562668344058968,"[[ 83   6   0]
 [  7 104   7]
 [  5  23  14]]"
CanonicalIntervalForestClassifier,343.82226634025574,62.8828125,0.9719515424334702,0.9718875502008032,0.9717808904996681,0.9975649188358849,0.9973710101449976,"[[ 88   0   1]
 [  3 115   0]
 [  0   3  39]]"
DrCIFClassifier,572.8645386695862,66.04296875,0.9724236328942163,0.9718875502008032,0.9717569356466448,0.9987753674687426,0.9984193803325753,"[[ 84   5   0]
 [  0 118   0]
 [  2   0  40]]"
RocketClassifier,23.552688598632812,117.63671875,1.0,1.0,1.0,1.0,1.0,"[[ 89   0   0]
 [  0 118   0]
 [  0   0  42]]"
Arsenal,112.96346354484558,74.25390625,1.0,1.0,1.0,1.0,1.0,"[[ 89   0   0]
 [  0 118   0]
 [  0   0  42]]"
