Classifier,Execution Time,Memory Usage,Precision,Accuracy,F1 Score,ROC-AUC Score (Macro),ROC-AUC Score (Micro),Confusion Matrix
MLPClassifier,252.09393405914307,126.609375,0.37418680604645516,0.31666666666666665,0.295048562341082,0.8051917989417989,0.8125308641975308,"[[4 3 0 0 0 1 0 1 1 0 0 1 0 0 1]
 [0 0 0 6 1 2 0 0 0 2 1 0 0 0 0]
 [0 2 2 0 7 1 0 0 0 0 0 0 0 0 0]
 [0 0 0 7 0 0 0 0 0 5 0 0 0 0 0]
 [0 0 0 0 9 0 0 0 1 0 0 0 0 1 1]
 [0 0 0 1 4 2 1 0 0 0 0 4 0 0 0]
 [0 0 0 0 9 1 0 0 0 0 1 0 0 0 1]
 [1 0 0 0 0 3 0 3 4 0 0 0 0 0 1]
 [0 0 0 0 0 1 0 0 9 0 0 0 0 0 2]
 [0 0 0 7 0 0 0 0 0 2 0 1 1 0 1]
 [0 0 0 1 0 0 0 1 0 1 4 0 2 0 3]
 [0 0 0 4 0 4 0 0 0 0 0 4 0 0 0]
 [0 0 0 0 0 4 0 0 0 0 1 0 5 0 2]
 [0 0 0 0 9 2 0 0 0 0 0 0 0 0 1]
 [0 0 0 1 0 4 0 0 0 0 0 0 1 0 6]]"
CNNClassifier,116.61977076530457,70.3046875,0.3017373063812692,0.2777777777777778,0.2697992044916806,0.767361111111111,0.7591490299823633,"[[ 4  1  0  0  0  0  0  5  2  0  0  0  0  0  0]
 [ 0  1  0  4  0  0  0  4  0  0  0  0  1  2  0]
 [ 1  3  2  0  3  0  2  0  1  0  0  0  0  0  0]
 [ 0  0  0  3  0  0  0  0  0  4  0  0  5  0  0]
 [ 2  0  2  0  2  1  0  1  1  0  0  0  0  3  0]
 [ 0  0  0  1  0  1  5  0  0  0  0  4  0  1  0]
 [ 0  2  0  0  0  4  1  0  0  0  1  0  0  3  1]
 [ 2  0  0  0  0  0  0  3  4  0  0  0  0  3  0]
 [ 0  0  0  0  0  0  0  0 10  0  0  0  0  0  2]
 [ 0  0  0  6  0  0  0  0  0  3  0  1  1  0  1]
 [ 0  0  0  1  0  0  0  0  0  0  4  0  1  0  6]
 [ 0  0  0  2  0  0  0  0  0  0  0  6  0  4  0]
 [ 0  0  0  0  0  0  0  0  0  5  1  0  0  4  2]
 [ 0  3  0  0  0  1  3  0  0  0  0  0  0  4  1]
 [ 0  0  0  0  0  0  0  1  0  1  0  0  0  4  6]]"
FCNClassifier,744.2563230991364,109.3828125,0.3394414381914382,0.32222222222222224,0.31346685224259596,0.7863756613756614,0.7842592592592592,"[[6 0 4 0 0 0 0 2 0 0 0 0 0 0 0]
 [3 0 0 3 0 2 1 1 0 1 0 0 0 1 0]
 [0 0 4 0 1 1 0 0 1 0 0 2 0 3 0]
 [1 0 1 2 0 0 0 0 2 5 0 0 1 0 0]
 [1 0 1 0 4 0 1 0 1 0 0 0 0 4 0]
 [0 0 0 1 0 7 0 0 1 0 0 3 0 0 0]
 [0 0 0 0 0 2 2 0 1 0 0 1 0 6 0]
 [2 0 1 0 0 3 0 4 1 0 1 0 0 0 0]
 [2 2 1 0 1 0 0 1 3 0 0 0 0 0 2]
 [0 0 0 5 0 0 0 1 0 1 0 2 2 0 1]
 [1 0 0 1 0 1 0 0 0 1 5 0 1 0 2]
 [0 0 0 0 0 5 0 2 1 0 0 4 0 0 0]
 [0 0 0 0 0 4 1 0 0 0 1 0 5 0 1]
 [0 0 1 0 0 3 1 0 0 0 0 0 0 6 1]
 [0 0 3 0 0 4 0 0 0 0 0 0 0 0 5]]"
MCDCNNClassifier,10.098175048828125,69.4140625,0.45209985951921444,0.37222222222222223,0.3898434553591392,0.8150793650793651,0.8113910934744268,"[[8 1 1 0 0 0 0 2 0 0 0 0 0 0 0]
 [0 1 0 5 1 1 0 1 0 0 0 0 3 0 0]
 [0 1 4 0 5 1 0 0 1 0 0 0 0 0 0]
 [0 2 0 3 0 1 0 0 0 3 0 0 3 0 0]
 [0 1 1 0 4 2 1 0 0 0 0 0 0 3 0]
 [0 0 0 0 2 5 1 0 0 0 0 3 1 0 0]
 [0 2 0 0 0 3 4 0 0 0 0 0 1 2 0]
 [0 0 0 1 0 0 0 7 0 0 0 1 3 0 0]
 [0 0 0 1 0 1 0 2 6 0 0 0 0 0 2]
 [0 0 0 4 0 1 0 0 0 2 0 2 2 0 1]
 [0 1 0 1 0 1 1 0 0 0 4 0 2 0 2]
 [0 0 0 0 0 1 0 0 0 0 0 7 4 0 0]
 [0 0 0 0 0 0 1 0 0 4 1 0 5 0 1]
 [0 3 0 0 3 1 0 0 0 0 0 0 2 2 1]
 [0 0 0 0 0 0 1 0 0 1 0 0 5 0 5]]"
TemporalDictionaryEnsemble,164.85813975334167,116.54296875,0.3317097608274079,0.3277777777777778,0.3258692248577306,0.8382275132275132,0.8421285273368607,"[[6 0 2 0 1 0 0 3 0 0 0 0 0 0 0]
 [1 2 0 6 1 0 0 0 1 0 0 0 1 0 0]
 [0 2 3 0 4 1 1 0 1 0 0 0 0 0 0]
 [0 1 0 4 0 0 0 0 0 3 1 0 3 0 0]
 [1 0 2 0 6 0 0 1 0 0 0 1 0 1 0]
 [0 0 0 0 0 7 1 1 0 0 0 2 0 0 1]
 [0 2 0 0 0 3 3 0 0 0 0 0 0 3 1]
 [2 0 0 0 0 0 0 5 3 0 0 0 0 2 0]
 [2 0 1 0 1 0 0 3 3 0 0 0 0 0 2]
 [0 0 0 3 0 1 0 0 0 2 1 2 2 0 1]
 [0 1 0 1 0 1 1 0 0 0 5 0 1 0 2]
 [0 1 0 1 0 0 0 0 2 0 0 5 1 2 0]
 [0 0 0 0 0 0 1 0 2 4 1 0 1 2 1]
 [0 3 0 0 1 2 1 0 1 0 0 0 0 3 1]
 [0 0 0 0 0 0 1 1 0 1 1 0 0 4 4]]"
IndividualTDE,3.2842841148376465,62.49609375,0.3264466238659787,0.3111111111111111,0.3023694146843762,0.6160714285714285,0.6160714285714285,"[[7 0 0 0 3 0 0 1 1 0 0 0 0 0 0]
 [1 0 0 3 1 1 1 3 0 0 0 0 2 0 0]
 [1 2 3 0 3 1 2 0 0 0 0 0 0 0 0]
 [0 0 0 5 0 1 0 0 0 1 2 1 2 0 0]
 [1 1 2 0 6 1 1 0 0 0 0 0 0 0 0]
 [1 0 0 0 0 5 4 1 0 0 0 1 0 0 0]
 [0 2 0 0 0 2 5 0 0 0 0 0 0 2 1]
 [2 0 0 0 0 1 2 5 2 0 0 0 0 0 0]
 [1 0 2 0 0 0 0 3 2 0 0 2 0 0 2]
 [0 1 0 2 0 1 0 0 0 4 0 1 2 0 1]
 [0 1 0 1 0 1 2 0 0 0 5 0 0 0 2]
 [0 1 0 1 0 0 4 0 0 2 0 4 0 0 0]
 [0 0 0 0 0 3 2 0 0 5 1 0 0 0 1]
 [0 3 0 0 2 1 4 0 0 0 0 0 0 1 1]
 [0 0 0 0 0 2 4 0 0 0 1 1 0 0 4]]"
MUSE,227.1960892677307,87.63671875,0.36542440534376014,0.3,0.29176720343436574,0.8528439153439152,0.8519444444444444,"[[6 0 3 0 0 0 0 3 0 0 0 0 0 0 0]
 [0 0 0 6 1 2 0 2 0 0 0 0 1 0 0]
 [0 2 3 0 2 0 5 0 0 0 0 0 0 0 0]
 [0 0 0 3 0 0 0 0 0 3 3 0 3 0 0]
 [0 0 3 0 3 1 2 2 0 0 0 0 0 1 0]
 [0 0 0 0 0 5 3 0 0 0 0 4 0 0 0]
 [0 1 0 0 0 2 6 0 0 0 1 0 0 2 0]
 [1 0 0 1 0 3 0 5 2 0 0 0 0 0 0]
 [1 0 1 1 1 0 0 3 3 0 2 0 0 0 0]
 [0 0 0 4 0 1 0 0 0 2 1 2 2 0 0]
 [0 0 0 1 0 1 1 0 0 0 8 0 1 0 0]
 [0 0 0 2 0 5 0 0 0 0 0 5 0 0 0]
 [0 0 0 0 0 4 1 0 0 4 2 0 1 0 0]
 [0 1 0 0 1 3 4 0 0 0 1 0 0 2 0]
 [0 0 0 0 0 4 0 1 0 1 4 0 0 0 2]]"
KNeighborsTimeSeriesClassifier,4.8008787631988525,62.6953125,0.07525023184504367,0.18333333333333332,0.09841438317473525,0.5625,0.5625,"[[11  0  0  0  0  0  0  1  0  0  0  0  0  0  0]
 [ 8  0  0  0  0  0  0  3  0  0  0  0  0  1  0]
 [ 6  0  0  0  0  0  0  0  0  0  0  0  0  6  0]
 [ 4  0  0  0  0  0  0  8  0  0  0  0  0  0  0]
 [ 7  0  0  0  0  0  0  0  0  0  0  1  0  4  0]
 [ 1  0  0  0  0  0  0  1  0  0  0  4  0  6  0]
 [ 1  0  0  0  0  0  0  2  0  0  0  0  0  9  0]
 [ 7  0  0  0  0  0  0  4  0  0  0  1  0  0  0]
 [ 4  0  0  0  0  0  0  6  2  0  0  0  0  0  0]
 [ 1  0  0  0  0  0  0  7  1  0  0  3  0  0  0]
 [ 1  0  0  0  0  0  0  9  2  0  0  0  0  0  0]
 [ 4  0  0  0  0  0  0  0  0  0  0  8  0  0  0]
 [ 4  0  0  0  0  0  0  7  1  0  0  0  0  0  0]
 [ 2  0  0  0  0  0  0  1  1  0  0  0  0  8  0]
 [ 8  0  0  0  0  0  0  0  4  0  0  0  0  0  0]]"
Catch22Classifier,3.3737099170684814,68.35546875,0.3957935582935583,0.37222222222222223,0.36287876578036765,0.8575066137566139,0.8563514109347443,"[[9 0 2 0 0 0 0 1 0 0 0 0 0 0 0]
 [1 2 0 5 1 0 0 0 0 0 0 0 1 2 0]
 [0 0 4 0 3 1 4 0 0 0 0 0 0 0 0]
 [0 1 0 3 0 0 0 2 0 1 2 0 3 0 0]
 [0 0 2 0 3 2 0 1 1 0 0 0 0 3 0]
 [0 0 0 0 0 7 1 0 0 0 0 3 0 1 0]
 [0 1 0 0 1 3 4 0 0 0 0 0 0 3 0]
 [2 0 0 0 0 0 0 7 0 0 0 0 0 3 0]
 [2 0 0 0 0 1 0 5 2 0 0 0 0 0 2]
 [0 0 0 5 0 1 0 0 0 2 0 2 1 0 1]
 [0 0 0 1 0 1 1 0 0 0 7 0 0 0 2]
 [0 0 0 0 0 0 0 0 0 0 0 8 0 4 0]
 [0 0 0 0 0 0 1 0 0 4 1 0 1 4 1]
 [0 2 1 0 2 2 0 0 0 0 0 0 0 4 1]
 [2 0 0 0 0 0 0 2 0 0 0 0 0 4 4]]"
FreshPRINCEClassifier,179.05607652664185,202.05859375,0.41397292250233425,0.3888888888888889,0.382423824022127,0.8412367724867725,0.8438833774250442,"[[8 1 0 0 0 0 0 3 0 0 0 0 0 0 0]
 [0 2 0 5 1 0 0 0 0 2 0 0 0 0 2]
 [0 2 3 0 2 0 2 0 0 0 0 0 0 3 0]
 [0 2 0 5 0 0 0 0 0 2 1 0 2 0 0]
 [0 0 2 0 7 0 1 1 0 0 0 0 0 1 0]
 [0 0 0 0 0 3 4 0 0 0 0 4 0 0 1]
 [0 1 0 0 1 3 4 0 0 0 0 0 0 2 1]
 [3 0 0 0 0 0 0 5 1 0 0 0 0 0 3]
 [0 0 0 0 0 0 0 3 7 0 0 0 0 0 2]
 [0 0 0 5 0 1 0 0 0 2 0 2 1 0 1]
 [0 1 0 1 0 1 1 0 0 0 5 0 1 0 2]
 [0 0 0 1 0 0 0 0 0 0 0 7 0 0 4]
 [0 0 0 0 0 0 1 0 0 4 1 0 1 0 5]
 [0 1 1 0 3 1 1 0 0 0 0 0 0 2 3]
 [0 0 0 0 0 0 0 2 0 0 0 1 0 0 9]]"
