Classifier,Execution Time,Memory Usage,Precision,Accuracy,F1 Score,ROC-AUC Score (Macro),ROC-AUC Score (Micro),Confusion Matrix
MLPClassifier,763.8951790332794,106.10546875,0.772185952947159,0.75,0.7499538706273915,0.9475555555555556,0.953141975308642,"[[21  1  8  0  0  0]
 [ 2  8 20  0  0  0]
 [ 0 10 20  0  0  0]
 [ 0  0  0 27  3  0]
 [ 0  0  0  0 30  0]
 [ 0  0  0  0  1 29]]"
CNNClassifier,182.8798849582672,70.36328125,0.9163940325852253,0.9111111111111111,0.9124846832033231,0.9897407407407407,0.9942777777777777,"[[27  3  0  0  0  0]
 [ 0 25  5  0  0  0]
 [ 0  6 24  0  0  0]
 [ 0  0  0 28  1  1]
 [ 0  0  0  0 30  0]
 [ 0  0  0  0  0 30]]"
FCNClassifier,882.2781565189362,103.91796875,0.9614446435682994,0.9611111111111111,0.9606708910474671,0.9954444444444445,0.9956419753086421,"[[30  0  0  0  0  0]
 [ 1 25  4  0  0  0]
 [ 0  2 28  0  0  0]
 [ 0  0  0 30  0  0]
 [ 0  0  0  0 30  0]
 [ 0  0  0  0  0 30]]"
MCDCNNClassifier,67.96393322944641,149.49609375,0.8169622507122508,0.8,0.7884559184519767,0.8937037037037037,0.8970370370370371,"[[29  1  0  0  0  0]
 [ 0 25  5  0  0  0]
 [ 0 22  8  0  0  0]
 [ 0  0  0 24  6  0]
 [ 0  0  0  1 29  0]
 [ 0  0  0  0  1 29]]"
TemporalDictionaryEnsemble,1416.779334783554,160.31640625,0.857361111111111,0.8555555555555555,0.8546496452503127,0.9732222222222222,0.9886234567901235,"[[30  0  0  0  0  0]
 [ 0 21  9  0  0  0]
 [ 0 14 16  0  0  0]
 [ 0  0  0 28  1  1]
 [ 0  0  0  0 30  0]
 [ 0  0  0  0  1 29]]"
IndividualTDE,13.45952582359314,62.76953125,0.7313734425189534,0.7277777777777777,0.722539293495176,0.8300000000000001,0.8300000000000001,"[[29  1  0  0  0  0]
 [ 3 18  9  0  0  0]
 [ 3 15 12  0  0  0]
 [ 0  0  0 25  5  0]
 [ 0  0  0  7 23  0]
 [ 3  0  0  1  2 24]]"
MUSE,54.49492025375366,234.26171875,0.8732786266742124,0.8722222222222222,0.8681827922425801,0.9783703703703703,0.9905061728395061,"[[30  0  0  0  0  0]
 [ 0 23  7  0  0  0]
 [ 1 15 14  0  0  0]
 [ 0  0  0 30  0  0]
 [ 0  0  0  0 30  0]
 [ 0  0  0  0  0 30]]"
KNeighborsTimeSeriesClassifier,10.587252378463745,62.6875,0.889894419306184,0.8888888888888888,0.8883928571428571,0.9333333333333332,0.9333333333333332,"[[30  0  0  0  0  0]
 [ 0 18 12  0  0  0]
 [ 0  8 22  0  0  0]
 [ 0  0  0 30  0  0]
 [ 0  0  0  0 30  0]
 [ 0  0  0  0  0 30]]"
Catch22Classifier,6.64528489112854,63.06640625,0.8761776753712237,0.8777777777777778,0.8767728157779034,0.9801481481481482,0.9913425925925925,"[[30  0  0  0  0  0]
 [ 1 19 10  0  0  0]
 [ 0  9 21  0  0  0]
 [ 0  0  0 29  1  0]
 [ 0  0  0  1 29  0]
 [ 0  0  0  0  0 30]]"
FreshPRINCEClassifier,2034.9327437877655,1977.390625,0.8858273596176821,0.8833333333333333,0.8822094552390005,0.986574074074074,0.9945123456790124,"[[30  0  0  0  0  0]
 [ 0 17 13  0  0  0]
 [ 0  7 23  0  0  0]
 [ 0  0  0 29  1  0]
 [ 0  0  0  0 30  0]
 [ 0  0  0  0  0 30]]"
SupervisedTimeSeriesForest,296.8895468711853,115.953125,0.8914485539643667,0.8888888888888888,0.8883938442638413,0.9848148148148148,0.9894999999999999,"[[30  0  0  0  0  0]
 [ 0 25  5  0  0  0]
 [ 0  9 21  0  0  0]
 [ 0  0  0 26  4  0]
 [ 0  0  0  1 28  1]
 [ 0  0  0  0  0 30]]"
TimeSeriesForestClassifier,23.718826055526733,66.42578125,0.886055121349239,0.8833333333333333,0.8828451336675021,0.9828703703703704,0.9923395061728395,"[[30  0  0  0  0  0]
 [ 0 23  7  0  0  0]
 [ 0 11 19  0  0  0]
 [ 0  0  0 27  3  0]
 [ 0  0  0  0 30  0]
 [ 0  0  0  0  0 30]]"
CanonicalIntervalForestClassifier,445.1786608695984,69.62109375,0.882811665420361,0.8777777777777778,0.876279452973935,0.9798518518518519,0.9905493827160493,"[[30  0  0  0  0  0]
 [ 0 24  6  0  0  0]
 [ 0 13 17  0  0  0]
 [ 0  0  0 27  3  0]
 [ 0  0  0  0 30  0]
 [ 0  0  0  0  0 30]]"
DrCIFClassifier,613.8711779117584,75.15625,0.849913974913975,0.8444444444444444,0.8417344208934954,0.9783888888888889,0.9896111111111112,"[[30  0  0  0  0  0]
 [ 0 23  7  0  0  0]
 [ 0 16 14  0  0  0]
 [ 0  0  0 27  3  0]
 [ 0  0  0  1 29  0]
 [ 0  0  0  0  1 29]]"
RocketClassifier,12.283830642700195,120.8203125,0.9005760368663596,0.9,0.8981224604175424,0.94,0.94,"[[30  0  0  0  0  0]
 [ 1 18 11  0  0  0]
 [ 0  6 24  0  0  0]
 [ 0  0  0 30  0  0]
 [ 0  0  0  0 30  0]
 [ 0  0  0  0  0 30]]"
Arsenal,55.66724753379822,83.50390625,0.899246810537133,0.9,0.8987227860178679,0.9590740740740741,0.9641358024691359,"[[30  0  0  0  0  0]
 [ 1 19 10  0  0  0]
 [ 0  7 23  0  0  0]
 [ 0  0  0 30  0  0]
 [ 0  0  0  0 30  0]
 [ 0  0  0  0  0 30]]"
