Classifier,Execution Time,Memory Usage,Precision,Accuracy,F1 Score,ROC-AUC Score (Macro),ROC-AUC Score (Micro),Confusion Matrix
MLPClassifier,240.32785034179688,130.1484375,0.758979575708899,0.75,0.7521202767484233,0.9200271998408397,0.9276748614958449,"[[29 11  1  2]
 [13 25  2  0]
 [ 2  0 32  0]
 [ 5  1  1 28]]"
CNNClassifier,138.2902374267578,72.95703125,0.807704868231184,0.8026315789473685,0.8015282774750817,0.9520089679897474,0.9535578254847646,"[[26 16  1  0]
 [ 6 31  1  2]
 [ 3  0 31  0]
 [ 0  1  0 34]]"
FCNClassifier,993.9774348735809,102.44921875,0.9407450918964075,0.9407894736842105,0.9402471209395974,0.9853865188766885,0.9871162280701754,"[[37  4  1  1]
 [ 2 38  0  0]
 [ 1  0 33  0]
 [ 0  0  0 35]]"
MCDCNNClassifier,21.31828498840332,88.09375,0.8172916411092496,0.8092105263157895,0.8059855414705582,0.9122965159605294,0.9168542243767313,"[[25 16  0  2]
 [ 6 31  1  2]
 [ 0  0 34  0]
 [ 0  2  0 33]]"
TemporalDictionaryEnsemble,354.73136925697327,107.3828125,0.8994017389966144,0.9013157894736842,0.8999574489087417,0.9741844461462681,0.979455216989843,"[[35  5  2  1]
 [ 7 33  0  0]
 [ 0  0 34  0]
 [ 0  0  0 35]]"
IndividualTDE,4.581106901168823,62.84765625,0.42228377962449987,0.4276315789473684,0.4085614411915077,0.6545094015703947,0.6491228070175439,"[[20  6  5 12]
 [13  6 14  7]
 [ 4  4 21  5]
 [ 1  2 14 18]]"
MUSE,8.98706841468811,43.97265625,0.8254623044096728,0.8289473684210527,0.8260690428310566,0.9640304843740747,0.9685191597414589,"[[36  7  0  0]
 [ 8 26  2  4]
 [ 1  0 32  1]
 [ 0  2  1 32]]"
KNeighborsTimeSeriesClassifier,2.770724296569824,62.64453125,0.8288105919684867,0.8355263157894737,0.8303683728026964,0.8970793938693679,0.8903508771929824,"[[29  8  2  4]
 [10 29  1  0]
 [ 0  0 34  0]
 [ 0  0  0 35]]"
Catch22Classifier,5.008459568023682,69.421875,0.7683449303082267,0.7697368421052632,0.7675613623260028,0.9212357990814017,0.9289228416435826,"[[30  5  4  4]
 [13 27  0  0]
 [ 0  0 31  3]
 [ 0  3  3 29]]"
FreshPRINCEClassifier,559.4332585334778,459.73828125,0.8935422906860646,0.8947368421052632,0.8938283208020049,0.9711600177014404,0.9763388734995384,"[[35  6  1  1]
 [ 6 33  1  0]
 [ 0  0 34  0]
 [ 0  1  0 34]]"
SupervisedTimeSeriesForest,63.764310121536255,67.39453125,0.8337151026855271,0.8355263157894737,0.8339125125933823,0.9512800649299984,0.9575253924284395,"[[30  8  2  3]
 [ 8 32  0  0]
 [ 2  0 31  1]
 [ 0  1  0 34]]"
TimeSeriesForestClassifier,12.247426509857178,62.77734375,0.8805555555555555,0.881578947368421,0.8801930064395437,0.9700929233123083,0.9778826177285319,"[[36  6  0  1]
 [ 9 30  1  0]
 [ 0  0 34  0]
 [ 0  0  1 34]]"
CanonicalIntervalForestClassifier,199.57250428199768,64.91796875,0.846837012281509,0.8421052631578947,0.8413897445981079,0.9689743479599884,0.9764254385964912,"[[36  5  2  0]
 [10 29  1  0]
 [ 0  0 33  1]
 [ 1  1  3 30]]"
DrCIFClassifier,403.7622663974762,67.7421875,0.8579359145970986,0.8552631578947368,0.8539784241761221,0.9616881139832235,0.9699546975992613,"[[35  5  2  1]
 [12 28  0  0]
 [ 0  0 33  1]
 [ 1  0  0 34]]"
RocketClassifier,13.210047960281372,101.04296875,0.9086097722781901,0.9078947368421053,0.9061582539421063,0.9427697495544507,0.9385964912280702,"[[34  6  3  0]
 [ 3 35  1  1]
 [ 0  0 34  0]
 [ 0  0  0 35]]"
Arsenal,29.77276349067688,85.8125,0.9063418466267091,0.9078947368421053,0.9064060476217629,0.9801428053669314,0.981395717913204,"[[36  5  2  0]
 [ 5 33  1  1]
 [ 0  0 34  0]
 [ 0  0  0 35]]"
