Classifier,Execution Time,Memory Usage,Precision,Accuracy,F1 Score,ROC-AUC Score (Macro),ROC-AUC Score (Micro),Confusion Matrix
MLPClassifier,173.86302590370178,283.84375,0.5166666666666667,0.3333333333333333,0.3185185185185186,0.5333333333333333,0.5355555555555556,"[[1 0 4]
 [1 1 3]
 [2 0 3]]"
CNNClassifier,108.59463143348694,76.36328125,0.5396825396825397,0.4,0.4227994227994228,0.5,0.54,"[[2 0 3]
 [1 2 2]
 [3 0 2]]"
FCNClassifier,2291.0117485523224,245.78515625,0.7638888888888888,0.6666666666666666,0.60994560994561,0.68,0.6444444444444444,"[[4 0 1]
 [2 1 2]
 [0 0 5]]"
MCDCNNClassifier,19.59489369392395,373.3984375,0.28888888888888886,0.26666666666666666,0.27542087542087546,0.54,0.5444444444444445,"[[2 1 2]
 [1 1 3]
 [1 3 1]]"
TemporalDictionaryEnsemble,236.96421241760254,265.359375,0.2619047619047619,0.3333333333333333,0.29292929292929293,0.5733333333333334,0.5800000000000001,"[[2 1 2]
 [4 0 1]
 [1 1 3]]"
IndividualTDE,4.110053300857544,62.76171875,0.16666666666666666,0.2,0.17663817663817666,0.39999999999999997,0.4,"[[0 1 4]
 [2 1 2]
 [1 2 2]]"
MUSE,30.7928524017334,108.1171875,0.47619047619047616,0.4666666666666667,0.4437229437229437,0.6466666666666667,0.6466666666666667,"[[3 1 1]
 [2 1 2]
 [2 0 3]]"
KNeighborsTimeSeriesClassifier,44.21400237083435,116.5859375,0.4666666666666667,0.4666666666666667,0.4632996632996633,0.6,0.6000000000000001,"[[3 1 1]
 [1 2 2]
 [2 1 2]]"
Catch22Classifier,2.8608171939849854,64.97265625,0.27777777777777773,0.4,0.32634032634032634,0.68,0.6666666666666667,"[[2 0 3]
 [4 0 1]
 [0 1 4]]"
FreshPRINCEClassifier,726.24427485466,727.40234375,0.611111111111111,0.5333333333333333,0.49603174603174605,0.62,0.6244444444444445,"[[1 0 4]
 [2 2 1]
 [0 0 5]]"
SupervisedTimeSeriesForest,25.806592226028442,85.98046875,0.2722222222222222,0.26666666666666666,0.26801346801346804,0.5,0.5277777777777778,"[[2 1 2]
 [3 1 1]
 [0 4 1]]"
TimeSeriesForestClassifier,11.946194410324097,69.71484375,0.3333333333333333,0.4,0.3235294117647059,0.45666666666666655,0.4711111111111111,"[[0 0 5]
 [0 2 3]
 [0 1 4]]"
CanonicalIntervalForestClassifier,306.70029306411743,86.421875,0.25,0.3333333333333333,0.2792022792022792,0.6833333333333332,0.658888888888889,"[[0 2 3]
 [3 1 1]
 [0 1 4]]"
DrCIFClassifier,380.37453174591064,101.6171875,0.5555555555555555,0.5333333333333333,0.5303030303030302,0.6633333333333333,0.6744444444444445,"[[3 0 2]
 [2 2 1]
 [1 1 3]]"
RocketClassifier,24.492422342300415,69.1015625,0.3472222222222222,0.4666666666666667,0.39627039627039623,0.6,0.6000000000000001,"[[3 1 1]
 [4 0 1]
 [1 0 4]]"
Arsenal,117.91458654403687,71.3359375,0.3472222222222222,0.4666666666666667,0.39627039627039623,0.5733333333333334,0.5644444444444445,"[[3 1 1]
 [4 0 1]
 [1 0 4]]"
