Classifier,Execution Time,Memory Usage,Precision,Accuracy,F1 Score,ROC-AUC Score (Macro),ROC-AUC Score (Micro),Confusion Matrix
MLPClassifier,274.51162481307983,142.9609375,0.7682190338712969,0.765625,0.7629346923367365,0.925234375,0.9303543526785715,"[[35  2  0  1  0  2  0  0]
 [ 0 39  0  0  0  0  0  1]
 [ 0  0 33  0  7  0  0  0]
 [ 0  0  0 31  2  3  1  3]
 [ 2  1  7  1 24  0  1  4]
 [ 7  0  1  4  3 23  0  2]
 [ 1  0  2  0  2  0 29  6]
 [ 0  0  0  1  0  0  8 31]]"
CNNClassifier,166.44302678108215,68.9140625,0.7300591880237401,0.725,0.722889844323895,0.9196428571428572,0.9178683035714285,"[[32  1  0  1  0  4  2  0]
 [ 0 39  0  0  0  1  0  0]
 [ 0  0 32  0  8  0  0  0]
 [ 1  0  2 30  2  3  0  2]
 [ 2  1  9  0 23  1  0  4]
 [ 4  1  6  2  1 23  1  2]
 [ 1  0  4  0  4  1 22  8]
 [ 0  0  0  2  0  1  6 31]]"
FCNClassifier,2753.4886343479156,132.5546875,0.6841526387269422,0.68125,0.6789667229920019,0.9176004464285714,0.9165234375,"[[25  2  2  3  0  6  1  1]
 [ 1 38  0  0  0  0  1  0]
 [ 1  1 26  0  4  0  2  6]
 [ 2  1  3 26  2  1  3  2]
 [ 4  3  1  0 28  2  0  2]
 [ 3  3  0  3  4 23  2  2]
 [ 0  1  3  2  1  1 24  8]
 [ 2  1  1  0  1  0  7 28]]"
MCDCNNClassifier,25.069547414779663,101.3671875,0.7574886553707152,0.753125,0.7500519341181043,0.8461495535714285,0.846957310267857,"[[34  1  0  1  0  3  1  0]
 [ 0 39  0  0  0  1  0  0]
 [ 0  0 31  0  8  0  1  0]
 [ 1  0  1 29  2  4  0  3]
 [ 3  1  3  2 28  0  0  3]
 [ 3  0  2  5  1 25  0  4]
 [ 1  3  5  0  1  0 23  7]
 [ 0  1  1  2  0  2  2 32]]"
TemporalDictionaryEnsemble,211.42930054664612,150.71484375,0.7211649659075455,0.715625,0.7126024111042522,0.9509151785714286,0.9535505022321428,"[[32  1  1  1  0  3  1  1]
 [ 0 40  0  0  0  0  0  0]
 [ 0  0 23  0 16  0  1  0]
 [ 1  1  1 23  5  5  0  4]
 [ 1  1  6  0 21  1  3  7]
 [ 1  1  4  7  0 23  1  3]
 [ 1  0  1  0  1  0 31  6]
 [ 0  0  0  1  0  0  3 36]]"
IndividualTDE,4.504486322402954,62.69921875,0.3029898742284413,0.2875,0.2841073320452211,0.5910714285714286,0.5910714285714286,"[[12  0  0 16  1  7  0  4]
 [ 9 13  2  1  4  1  6  4]
 [ 5  4 12  3  8  3  1  4]
 [ 7  4  2 20  2  3  0  2]
 [ 5  6  3  2  7  7  5  5]
 [ 4  4  0 14  2 13  0  3]
 [ 2  4  2  6  5  5  8  8]
 [ 6  5  3 12  3  2  2  7]]"
MUSE,36.70688605308533,171.80859375,0.7527515978359846,0.75,0.7479959894471843,0.9443415178571428,0.9447544642857142,"[[30  0  1  1  0  4  3  1]
 [ 0 39  1  0  0  0  0  0]
 [ 0  0 31  2  4  2  0  1]
 [ 2  1  0 24  6  4  0  3]
 [ 1  2  3  0 30  2  1  1]
 [ 2  2  5  2  2 27  0  0]
 [ 3  0  1  0  1  1 27  7]
 [ 0  0  1  0  1  0  6 32]]"
KNeighborsTimeSeriesClassifier,129.11896347999573,63.6875,0.7442665388147855,0.734375,0.7342075094204883,0.8482142857142857,0.8482142857142857,"[[30  1  2  2  0  1  2  2]
 [ 1 37  0  0  0  0  1  1]
 [ 0  0 29  1  7  0  1  2]
 [ 0  0  3 28  3  1  2  3]
 [ 1  0  5  0 29  3  2  0]
 [ 5  0  1  5  5 21  2  1]
 [ 0  0  0  0  2  0 29  9]
 [ 1  0  0  1  1  1  4 32]]"
Catch22Classifier,3.516334295272827,72.7109375,0.6892301262699659,0.684375,0.6795280495053978,0.9333984375,0.9349365234374999,"[[27  1  0  4  0  4  1  3]
 [ 0 40  0  0  0  0  0  0]
 [ 0  0 32  1  6  0  1  0]
 [ 3  4  5 23  1  0  1  3]
 [ 2  3  3  0 24  3  2  3]
 [ 0  8  2  5  0 23  1  1]
 [ 3  1  1  0  1  0 27  7]
 [ 4  0  0  0  0  0 13 23]]"
FreshPRINCEClassifier,543.4949796199799,525.8671875,0.7109333309790626,0.7125,0.7105964332641161,0.9546261160714287,0.9556243024553571,"[[24  1  0  4  0  6  4  1]
 [ 0 40  0  0  0  0  0  0]
 [ 0  0 29  0 10  0  1  0]
 [ 2  0  1 30  1  3  1  2]
 [ 6  1  6  1 24  0  1  1]
 [ 2  2  1  5  0 27  2  1]
 [ 2  0  2  0  0  1 26  9]
 [ 1  0  1  1  0  0  9 28]]"
